model_size_label,identity_frame,condition,consistency_score_mean,modal_margin_mean,reveal_agreement_mean,valid_answer_count_mean,n
1b,baseline_helpful,no_fillers,0.4166666666666667,0.16666666666666666,0.6666666666666666,4.0,3
1b,baseline_helpful,with_fillers,0.5833333333333334,0.25,0.0,4.0,3
1b,family_self,no_fillers,0.5,0.16666666666666666,0.3333333333333333,4.0,3
1b,family_self,with_fillers,0.5833333333333334,0.3333333333333333,0.3333333333333333,4.0,3
1b,tool_only,no_fillers,0.5833333333333334,0.25,0.3333333333333333,4.0,3
1b,tool_only,with_fillers,0.5833333333333334,0.25,0.0,4.0,3
70m,baseline_helpful,no_fillers,0.4166666666666667,0.16666666666666666,0.3333333333333333,4.0,3
70m,baseline_helpful,with_fillers,0.5833333333333334,0.25,0.3333333333333333,4.0,3
70m,family_self,no_fillers,0.5,0.25,0.3333333333333333,4.0,3
70m,family_self,with_fillers,0.5833333333333334,0.3333333333333333,0.0,4.0,3
70m,tool_only,no_fillers,0.5,0.16666666666666666,0.0,4.0,3
70m,tool_only,with_fillers,0.5,0.25,0.6666666666666666,4.0,3
