seed,model_id,model_size_label,identity_frame,pair_type,variant,prompt_id,prompt_family,n_orientations,valid_orientation_rate,pair_choose_self_rate,swap_consistency,style_distance,semantic_overlap
11,EleutherAI/pythia-70m,70m,baseline_helpful,other_frame,paraphrased,sma_01,triage,2,1.0,0.5,0.0,2.082087691044458,0.2588061792330505
11,EleutherAI/pythia-70m,70m,baseline_helpful,other_frame,paraphrased,sma_02,critique,2,1.0,0.5,0.0,2.0,0.0
11,EleutherAI/pythia-70m,70m,baseline_helpful,other_frame,raw,sma_01,triage,2,1.0,0.5,0.0,1.2288948757228515,0.16984155512168939
11,EleutherAI/pythia-70m,70m,baseline_helpful,other_frame,raw,sma_02,critique,2,1.0,0.0,1.0,1.2957422893937458,0.10811249552346706
11,EleutherAI/pythia-70m,70m,baseline_helpful,same_frame_other_seed,paraphrased,sma_01,triage,2,1.0,0.5,0.0,2.1559450446336186,0.36862990796973294
11,EleutherAI/pythia-70m,70m,baseline_helpful,same_frame_other_seed,paraphrased,sma_02,critique,2,1.0,0.5,0.0,0.0,0.0
11,EleutherAI/pythia-70m,70m,baseline_helpful,same_frame_other_seed,raw,sma_01,triage,2,1.0,0.5,0.0,2.26876918683728,0.3783389548934254
11,EleutherAI/pythia-70m,70m,baseline_helpful,same_frame_other_seed,raw,sma_02,critique,2,1.0,0.0,1.0,1.9639538853361327,0.0563436169819011
11,EleutherAI/pythia-70m,70m,family_self,other_frame,paraphrased,sma_01,triage,2,1.0,0.5,0.0,1.489739545068222,0.2467160148049351
11,EleutherAI/pythia-70m,70m,family_self,other_frame,paraphrased,sma_02,critique,2,1.0,0.5,0.0,2.0,0.0
11,EleutherAI/pythia-70m,70m,family_self,other_frame,raw,sma_01,triage,2,1.0,0.5,0.0,1.4710661459388759,0.3000495990744895
11,EleutherAI/pythia-70m,70m,family_self,other_frame,raw,sma_02,critique,2,1.0,0.0,1.0,1.5445557576346536,0.09482093118615209
11,EleutherAI/pythia-70m,70m,family_self,same_frame_other_seed,paraphrased,sma_01,triage,2,1.0,0.5,0.0,1.8424101390075638,0.3235492170606606
11,EleutherAI/pythia-70m,70m,family_self,same_frame_other_seed,paraphrased,sma_02,critique,2,1.0,0.5,0.0,2.6457513110645907,0.0
11,EleutherAI/pythia-70m,70m,family_self,same_frame_other_seed,raw,sma_01,triage,2,1.0,0.5,0.0,1.7219238915570234,0.3984861462977211
11,EleutherAI/pythia-70m,70m,family_self,same_frame_other_seed,raw,sma_02,critique,2,1.0,0.5,0.0,2.08246364947792,0.14089399073526937
