model_size_label,identity_frame,prompt_family,n,seed_count,self_profile_accuracy_mean_mean,self_profile_accuracy_mean_ci95_low,self_profile_accuracy_mean_ci95_high,matched_decoy_accuracy_mean_mean,matched_decoy_accuracy_mean_ci95_low,matched_decoy_accuracy_mean_ci95_high,scrambled_profile_accuracy_mean_mean,scrambled_profile_accuracy_mean_ci95_low,scrambled_profile_accuracy_mean_ci95_high,self_profile_valid_choice_rate_mean,self_profile_valid_choice_rate_ci95_low,self_profile_valid_choice_rate_ci95_high,matched_decoy_valid_choice_rate_mean,matched_decoy_valid_choice_rate_ci95_low,matched_decoy_valid_choice_rate_ci95_high,scrambled_profile_valid_choice_rate_mean,scrambled_profile_valid_choice_rate_ci95_low,scrambled_profile_valid_choice_rate_ci95_high,self_minus_decoy_accuracy_mean,self_minus_decoy_accuracy_ci95_low,self_minus_decoy_accuracy_ci95_high,self_minus_scrambled_accuracy_mean,self_minus_scrambled_accuracy_ci95_low,self_minus_scrambled_accuracy_ci95_high,triadic_valid_choice_mean,triadic_valid_choice_ci95_low,triadic_valid_choice_ci95_high,triadic_choose_self_mean,triadic_choose_self_ci95_low,triadic_choose_self_ci95_high,triadic_nearest_accuracy_mean,triadic_nearest_accuracy_ci95_low,triadic_nearest_accuracy_ci95_high,self_margin_vs_decoy_mean,self_margin_vs_decoy_ci95_low,self_margin_vs_decoy_ci95_high,self_margin_vs_scrambled_mean,self_margin_vs_scrambled_ci95_low,self_margin_vs_scrambled_ci95_high,profile_decoy_distance_mean,profile_decoy_distance_ci95_low,profile_decoy_distance_ci95_high
1b,baseline_helpful,comparison,5,5,0.55,0.25,0.8,0.55,0.25,0.8,0.55,0.25,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,0.2,1.0,0.6,0.2,1.0,0.0009019185640769311,-0.08970705927124421,0.11211889161910324,0.8219968211163483,0.6370901368804797,1.0240758132871184,0.7323378208669942,0.6663403318776357,0.7983353098563526
1b,baseline_helpful,critique,5,5,0.65,0.45,0.85,0.65,0.45,0.85,0.65,0.45,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.0,0.6,0.2,0.0,0.6,0.029769141559955647,-0.032358362792603935,0.10756303876269127,0.7244759393016277,0.4527785671388462,1.0277392135503702,0.7323378208669942,0.6663403318776357,0.7983353098563526
1b,baseline_helpful,diagnosis,5,5,0.35,0.15,0.5,0.35,0.15,0.5,0.35,0.15,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4,0.0,0.8,0.2,0.0,0.6,-0.02945166474362173,-0.11942986206168066,0.08855146888875272,0.7910414258623505,0.43364272182743785,1.2530810483168764,0.7323378208669942,0.6663403318776357,0.7983353098563526
1b,baseline_helpful,judgment,5,5,0.5,0.3,0.75,0.5,0.3,0.75,0.5,0.3,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6,0.2,1.0,-0.015505191721193379,-0.09844891330646197,0.08876144320459951,0.7414946832249788,0.46419953839029837,1.0553717994238228,0.7323378208669942,0.6663403318776357,0.7983353098563526
1b,baseline_helpful,planning,5,5,0.45,0.3,0.6,0.45,0.3,0.6,0.45,0.3,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6,0.2,1.0,-0.03745350890853616,-0.06026428369133696,-0.013544038105136458,0.64621015623231,0.4508911742805478,0.8881664525149402,0.7323378208669942,0.6663403318776357,0.7983353098563526
1b,baseline_helpful,policy,5,5,0.55,0.4,0.7,0.55,0.4,0.7,0.55,0.4,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007138868470192161,-0.06182570399207083,0.08419904747366443,0.7406238636775985,0.5869870191880419,0.8942607081671552,0.7323378208669942,0.6663403318776357,0.7983353098563526
1b,baseline_helpful,rewrite,5,5,0.65,0.5,0.85,0.65,0.5,0.85,0.65,0.5,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.0,0.6,0.6,0.2,1.0,-0.021280401570511344,-0.07260558957236936,0.04177146197680193,0.754525211090386,0.4747200724186082,1.094242191137414,0.7323378208669942,0.6663403318776357,0.7983353098563526
1b,baseline_helpful,triage,5,5,0.65,0.4,0.9,0.65,0.4,0.9,0.65,0.4,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2,0.0,0.6,0.018653483441696615,-0.049982163721001796,0.10093986710631513,0.6811797095555854,0.32420858907460504,1.0662878930555117,0.7323378208669942,0.6663403318776357,0.7983353098563526
1b,family_self,comparison,5,5,0.35,0.05,0.65,0.35,0.05,0.65,0.35,0.05,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,0.2,1.0,0.6,0.2,1.0,0.041562811521656126,-0.048821448606924854,0.14423474369209555,1.272298922877782,0.9233628264787141,1.4981662032696963,0.6152859737422731,0.4628188477951454,0.8780263902453964
1b,family_self,critique,5,5,0.5,0.3,0.75,0.5,0.3,0.75,0.5,0.3,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.0,0.6,0.2,0.0,0.6,-0.08458366782442024,-0.26878004501168196,0.04329241162253746,0.8529404266928073,0.6047768940716081,1.1167833118564183,0.6152859737422731,0.4628188477951454,0.8780263902453964
1b,family_self,diagnosis,5,5,0.55,0.3987500000000001,0.7,0.55,0.3987500000000001,0.7,0.55,0.3987500000000001,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2,0.0,0.6,-0.014161027331487075,-0.09964262153525279,0.06344180930376372,1.0013674700238373,0.6838063823164011,1.3675174882750445,0.6152859737422731,0.4628188477951454,0.8780263902453964
