model_size_label,identity_frame,prompt_family,n,seed_count,self_profile_accuracy_mean_mean,self_profile_accuracy_mean_ci95_low,self_profile_accuracy_mean_ci95_high,matched_decoy_accuracy_mean_mean,matched_decoy_accuracy_mean_ci95_low,matched_decoy_accuracy_mean_ci95_high,scrambled_profile_accuracy_mean_mean,scrambled_profile_accuracy_mean_ci95_low,scrambled_profile_accuracy_mean_ci95_high,self_profile_valid_choice_rate_mean,self_profile_valid_choice_rate_ci95_low,self_profile_valid_choice_rate_ci95_high,matched_decoy_valid_choice_rate_mean,matched_decoy_valid_choice_rate_ci95_low,matched_decoy_valid_choice_rate_ci95_high,scrambled_profile_valid_choice_rate_mean,scrambled_profile_valid_choice_rate_ci95_low,scrambled_profile_valid_choice_rate_ci95_high,self_minus_decoy_accuracy_mean,self_minus_decoy_accuracy_ci95_low,self_minus_decoy_accuracy_ci95_high,self_minus_scrambled_accuracy_mean,self_minus_scrambled_accuracy_ci95_low,self_minus_scrambled_accuracy_ci95_high,triadic_valid_choice_mean,triadic_valid_choice_ci95_low,triadic_valid_choice_ci95_high,triadic_choose_self_mean,triadic_choose_self_ci95_low,triadic_choose_self_ci95_high,triadic_nearest_accuracy_mean,triadic_nearest_accuracy_ci95_low,triadic_nearest_accuracy_ci95_high,self_margin_vs_decoy_mean,self_margin_vs_decoy_ci95_low,self_margin_vs_decoy_ci95_high,self_margin_vs_scrambled_mean,self_margin_vs_scrambled_ci95_low,self_margin_vs_scrambled_ci95_high,profile_decoy_distance_mean,profile_decoy_distance_ci95_low,profile_decoy_distance_ci95_high
1b,baseline_helpful,critique,2,2,0.5,0.25,0.75,0.5,0.25,0.75,0.5,0.25,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.017306724192764578,-0.014727528120857425,0.04934097650638658,0.8195812309914823,0.44559620527799604,1.1935662567049685,1.0378775560040514,1.0378775560040514,1.0378775560040514
1b,baseline_helpful,diagnosis,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.11969133206877186,0.0332342200746234,0.20614844406292032,1.2301145118960366,0.774201594874049,1.6860274289180244,1.0378775560040514,1.0378775560040514,1.0378775560040514
1b,baseline_helpful,policy,2,2,0.625,0.5,0.75,0.625,0.5,0.75,0.625,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012577523493800036,-0.036488107432259165,0.061643154419859236,0.8954855375453675,0.8426877599216223,0.9482833151691128,1.0378775560040514,1.0378775560040514,1.0378775560040514
1b,baseline_helpful,triage,2,2,0.875,0.75,1.0,0.875,0.75,1.0,0.875,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09069759259367571,0.04591278926126208,0.13548239592608935,0.7669989910489633,0.6831157595792847,0.8508822225186419,1.0378775560040514,1.0378775560040514,1.0378775560040514
1b,family_self,critique,2,2,0.625,0.25,1.0,0.625,0.25,1.0,0.625,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030696471086548716,0.01901373460733513,0.0423792075657623,0.6336538794452596,0.42567092703205844,0.8416368318584608,0.7205824554452798,0.7205824554452798,0.7205824554452798
1b,family_self,diagnosis,2,2,0.375,0.25,0.5,0.375,0.25,0.5,0.375,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.029924419432663885,-0.04573650177197908,-0.014112337093348692,0.9453086262644754,0.7804763477452656,1.1101409047836852,0.7205824554452798,0.7205824554452798,0.7205824554452798
1b,family_self,policy,2,2,0.625,0.5,0.75,0.625,0.5,0.75,0.625,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,-0.037547840747120476,-0.0710821797819341,-0.004013501712306855,0.6148290547927511,0.32691675118470176,0.9027413584008004,0.7205824554452798,0.7205824554452798,0.7205824554452798
1b,family_self,triage,2,2,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.25,0.25,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,-0.021790379382451652,-0.1337016165764695,0.0901208578115662,0.6920510446178996,0.5549731655091703,0.8291289237266288,0.7205824554452798,0.7205824554452798,0.7205824554452798
1b,stable_style_policy,critique,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,-0.058477452681459874,-0.06041129987109839,-0.05654360549182136,0.6569287104768227,0.5336924458919796,0.7801649750616657,1.1060655313897292,1.1060655313897292,1.1060655313897292
1b,stable_style_policy,diagnosis,2,2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0626062997203356,-0.06894539332838834,-0.056267206112282864,0.9030527719885734,0.8123373644648839,0.9937681795122628,1.1060655313897292,1.1060655313897292,1.1060655313897292
