model_size_label,identity_frame,axis_name,difficulty_name,n,seed_count,choose_self_baseline_mean,choose_self_baseline_ci95_low,choose_self_baseline_ci95_high,pair_valid_mean,pair_valid_ci95_low,pair_valid_ci95_high,style_distance_mean,style_distance_ci95_low,style_distance_ci95_high,semantic_overlap_mean,semantic_overlap_ci95_low,semantic_overlap_ci95_high
1b,baseline_helpful,cautious_vs_assertive,alt_frame,80,5,0.48,0.36,0.6,0.9375,0.875,0.9875,1.3062011994034264,1.1618397856594385,1.4498754035729176,0.3323456837551378,0.2684989949189641,0.39967596131837396
1b,baseline_helpful,cautious_vs_assertive,negative_steer,80,5,0.5,0.36666666666666664,0.6333333333333333,0.75,0.65,0.8375,0.993757216195014,0.8311870669220203,1.162185259704092,0.5853105978248965,0.49940910182207826,0.6730334519491574
1b,baseline_helpful,cautious_vs_assertive,positive_steer,80,5,0.4,0.25,0.55,0.5,0.3875,0.6125,0.5090770977921627,0.35618095158974317,0.652175876748842,0.7047051306520308,0.623154075956987,0.7905146793062193
1b,baseline_helpful,cautious_vs_assertive,same_frame_resample,80,5,0.5375,0.425,0.65,1.0,1.0,1.0,1.8550740992923962,1.7512597767704632,1.9555030644182414,0.26433587862028013,0.23018504489521266,0.2990161913460471
1b,baseline_helpful,collaborative_vs_authoritative,alt_frame,80,5,0.41333333333333333,0.30666666666666664,0.5333333333333333,0.9375,0.875,0.9875,1.3062011994034264,1.1618397856594385,1.4498754035729176,0.3323456837551378,0.2684989949189641,0.39967596131837396
1b,baseline_helpful,collaborative_vs_authoritative,negative_steer,80,5,0.4444444444444444,0.3111111111111111,0.6,0.5625,0.4625,0.675,0.8638179890792644,0.6950289167899751,1.0404069835913312,0.5667228445869432,0.4738208067792559,0.6584153968730593
1b,baseline_helpful,collaborative_vs_authoritative,positive_steer,80,5,0.5384615384615384,0.4153846153846154,0.6461538461538462,0.8125,0.725,0.9,1.1543589209235114,0.9841539567372599,1.3143022341636557,0.48196889443663216,0.3973645315647372,0.5729892050783203
1b,baseline_helpful,collaborative_vs_authoritative,same_frame_resample,80,5,0.4358974358974359,0.3333333333333333,0.5512820512820513,0.975,0.9375,1.0,1.9234374332141233,1.8395799037645708,2.0066157480849816,0.23183691069949855,0.19262409518430224,0.2715133858751747
1b,baseline_helpful,expansive_vs_terse,alt_frame,80,5,0.5466666666666666,0.44,0.6666666666666666,0.9375,0.875,0.9875,1.3062011994034264,1.1618397856594385,1.4498754035729176,0.3323456837551378,0.2684989949189641,0.39967596131837396
1b,baseline_helpful,expansive_vs_terse,negative_steer,80,5,0.44,0.3333333333333333,0.56,0.9375,0.8875,0.9875,1.2752079124849653,1.1263368752362255,1.4189251432041878,0.4122349209451598,0.33752482072783874,0.4898691238404152
1b,baseline_helpful,expansive_vs_terse,positive_steer,80,5,0.676923076923077,0.5692307692307692,0.7846153846153846,0.8125,0.7125,0.8875,1.0638675958523305,0.8881076140339214,1.2305859247792421,0.49748807849954774,0.4082677910354964,0.5950427818986279
1b,baseline_helpful,expansive_vs_terse,same_frame_resample,80,5,0.5316455696202531,0.4177215189873418,0.6455696202531646,0.9875,0.9625,1.0,1.9150659186507628,1.819687004085921,2.008507419936649,0.2195312206268556,0.18656982497634642,0.2538133093482622
1b,baseline_helpful,selfref_vs_impersonal,alt_frame,80,5,0.56,0.4533333333333333,0.6666666666666666,0.9375,0.875,0.9875,1.3062011994034264,1.1618397856594385,1.4498754035729176,0.3323456837551378,0.2684989949189641,0.39967596131837396
