model_size_label,identity_frame,prompt_family,difficulty_name,n,seed_count,choose_self_baseline_mean,choose_self_baseline_ci95_low,choose_self_baseline_ci95_high,pair_valid_mean,pair_valid_ci95_low,pair_valid_ci95_high,style_distance_mean,style_distance_ci95_low,style_distance_ci95_high,semantic_overlap_mean,semantic_overlap_ci95_low,semantic_overlap_ci95_high
1b,baseline_helpful,comparison,alt_frame,40,5,0.625,0.475,0.775,1.0,1.0,1.0,0.9053404134219877,0.6206769514243579,1.149337666562813,0.5115072938981936,0.38359280165149795,0.6607408681860052
1b,baseline_helpful,comparison,negative_steer,40,5,0.5714285714285714,0.4,0.7428571428571429,0.875,0.75,0.975,0.9044860652682889,0.7224239643726957,1.0792386198827255,0.544452480064669,0.4135014914788711,0.6812513597943258
1b,baseline_helpful,comparison,positive_steer,40,5,0.6571428571428571,0.4857142857142857,0.8,0.875,0.75,0.975,0.8936515497706583,0.7263886623032746,1.070155728564203,0.5770124671415706,0.4489709102041189,0.694644643321667
1b,baseline_helpful,comparison,same_frame_resample,40,5,0.475,0.325,0.625,1.0,1.0,1.0,1.8091477622478636,1.676733224316519,1.942009794757475,0.34234603229610383,0.28814413636808506,0.39341170625014904
1b,baseline_helpful,critique,alt_frame,40,5,0.5,0.35,0.65,1.0,1.0,1.0,1.4338529903287134,1.399215273725524,1.4635424617028758,0.15950776758292745,0.14602053634959083,0.17524287068848676
1b,baseline_helpful,critique,negative_steer,40,5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.875,0.775,0.975,1.4700282942706977,1.2693299613785232,1.646995455790302,0.4226154950383892,0.31913752866650835,0.5331827738603989
1b,baseline_helpful,critique,positive_steer,40,5,0.4857142857142857,0.3142857142857143,0.6571428571428571,0.875,0.775,0.975,1.3973331093210923,1.1397421585415037,1.6344163261282485,0.43738287086494126,0.3174065866603085,0.5571737899637361
1b,baseline_helpful,critique,same_frame_resample,40,5,0.41025641025641024,0.2564102564102564,0.5641025641025641,0.975,0.925,1.0,1.8557361272072719,1.690758592465914,2.012988361390043,0.22026601987391822,0.18002033124910866,0.2620460808963726
1b,baseline_helpful,diagnosis,alt_frame,40,5,0.575,0.425,0.725,1.0,1.0,1.0,0.9339486846448859,0.7936198942587358,1.0542305049758718,0.42780188685300874,0.3608008823053209,0.5059697254919777
1b,baseline_helpful,diagnosis,negative_steer,40,5,0.32,0.16,0.52,0.625,0.475,0.775,0.5250990709307235,0.31829587316169744,0.7590623973241077,0.6499487430645688,0.5206591390431872,0.7695287789700614
1b,baseline_helpful,diagnosis,positive_steer,40,5,0.65,0.5,0.8,1.0,1.0,1.0,0.9958386148888717,0.7686667969436304,1.251156034540942,0.481147389768885,0.3621878744424921,0.602271380729419
1b,baseline_helpful,diagnosis,same_frame_resample,40,5,0.575,0.425,0.725,1.0,1.0,1.0,1.963563617226366,1.8174103386209521,2.0849105223656004,0.23533432583410777,0.18112803666312127,0.2931665915961997
1b,baseline_helpful,judgment,alt_frame,40,5,0.425,0.275,0.575,1.0,1.0,1.0,1.2142770663402107,1.1362362336414207,1.305324704488799,0.3176641690658526,0.2845151215980989,0.34607763832392713
1b,baseline_helpful,judgment,negative_steer,40,5,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.875,0.775,0.975,1.1603926437480738,0.9427523135312087,1.3832991191522002,0.42691959196082535,0.3404180538356478,0.5183938917139588
1b,baseline_helpful,judgment,positive_steer,40,5,0.7,0.5333333333333333,0.8666666666666667,0.75,0.6,0.875,0.8685278274152939,0.6894086856070709,1.0686565329597584,0.5429864573377498,0.45899555816841076,0.6326719000112911
1b,baseline_helpful,judgment,same_frame_resample,40,5,0.55,0.4,0.7,1.0,1.0,1.0,1.9791037776826443,1.8485425558560928,2.104158837747982,0.2827024430502948,0.23874771531271588,0.3277508706124384
1b,baseline_helpful,planning,alt_frame,40,5,0.55,0.4,0.7,1.0,1.0,1.0,1.334888085748172,1.334888085748172,1.334888085748172,0.2044652050273827,0.2044652050273827,0.2044652050273827
1b,baseline_helpful,planning,negative_steer,40,5,0.4,0.13333333333333333,0.6666666666666666,0.375,0.225,0.525,0.6804051079624738,0.40824306477748423,0.9606763457401607,0.6330564309944767,0.485470740827098,0.7800443152588802
1b,baseline_helpful,planning,positive_steer,40,5,0.84,0.68,0.96,0.625,0.475,0.775,1.178422261828006,0.8939168625959336,1.458531906980375,0.45138346817042285,0.32495615429412456,0.5815504093546858
1b,baseline_helpful,planning,same_frame_resample,40,5,0.48717948717948717,0.3333333333333333,0.6410256410256411,0.975,0.925,1.0,1.7810522316159223,1.6437818987038768,1.908133174918657,0.14747295245400566,0.11544813923190034,0.1796314378063259
1b,baseline_helpful,policy,alt_frame,40,5,0.55,0.4,0.7,1.0,1.0,1.0,2.2562581318883175,2.197642555715601,2.306500054322074,0.09028938981432691,0.058688103379312496,0.11737620675862499
1b,baseline_helpful,policy,negative_steer,40,5,0.43333333333333335,0.26666666666666666,0.6,0.75,0.624375,0.875,1.2056190960264892,0.9722902981162808,1.4435829038576897,0.5184891391307621,0.3921225061998417,0.6462729306290226
1b,baseline_helpful,policy,positive_steer,40,5,0.2,0.08,0.36,0.625,0.475,0.775,0.9525971710496755,0.7217742263516977,1.1909744030597122,0.4842815353648479,0.3561372234599895,0.6196703065124796
1b,baseline_helpful,policy,same_frame_resample,40,5,0.3783783783783784,0.21621621621621623,0.5405405405405406,0.925,0.825,1.0,2.139280982792356,2.0675366308687786,2.209745181350158,0.20386115408908562,0.16427664506994985,0.24383066899574413
1b,baseline_helpful,rewrite,alt_frame,40,5,0.525,0.375,0.675,1.0,1.0,1.0,1.6322025521801513,1.5430082122505577,1.7362626154313445,0.14885784292570703,0.12939526619012057,0.16554005155620974
1b,baseline_helpful,rewrite,negative_steer,40,5,0.5714285714285714,0.4278571428571429,0.7142857142857143,0.875,0.775,0.975,1.3165706393531988,1.143068176599074,1.475537458265175,0.18111015941148798,0.08988073960455827,0.2885819393573954
1b,baseline_helpful,rewrite,positive_steer,40,5,0.5714285714285714,0.4,0.7428571428571429,0.875,0.75,0.975,1.4277774464854538,1.2244698140629116,1.6114979397367015,0.31949722910898537,0.2097440443788852,0.44709300958345854
1b,baseline_helpful,rewrite,same_frame_resample,40,5,0.65,0.5,0.8,1.0,1.0,1.0,1.7067363122421972,1.5619055849725245,1.8413498520888951,0.15664963460093376,0.12224110158021437,0.19038605904269704
1b,baseline_helpful,triage,alt_frame,40,5,0.0,0.0,0.0,0.5,0.325,0.65,0.7388416706749741,0.48024708593873316,0.9604941718774663,0.7986719148737029,0.7382734893358138,0.8691367446679067
1b,baseline_helpful,triage,negative_steer,40,5,0.3,0.175,0.45,1.0,1.0,1.0,1.3132149131736717,1.1413810091458232,1.4654722838537906,0.7269546951625772,0.6634703640978681,0.7883650849208231
1b,baseline_helpful,triage,positive_steer,40,5,0.08,0.0,0.2,0.625,0.475,0.775,0.717554032013602,0.46641012080884126,0.9328202416176825,0.8484781343438517,0.8071329054225227,0.890243928548594
1b,baseline_helpful,triage,same_frame_resample,40,5,0.475,0.325,0.625,1.0,1.0,1.0,2.0000846530679373,1.9043834941389612,2.082546657620569,0.34377473783206536,0.2836743816534663,0.402955138966014
1b,family_self,comparison,alt_frame,40,5,0.7,0.5,0.9,0.5,0.325,0.65,0.8536829376570954,0.5548939094771119,1.1097878189542238,0.5613395615082147,0.42974142996067927,0.7148707149803396
