model_size_label,identity_frame,difficulty_name,n,seed_count,choose_self_baseline_mean,choose_self_baseline_ci95_low,choose_self_baseline_ci95_high,pair_valid_mean,pair_valid_ci95_low,pair_valid_ci95_high,style_distance_mean,style_distance_ci95_low,style_distance_ci95_high,semantic_overlap_mean,semantic_overlap_ci95_low,semantic_overlap_ci95_high
1b,baseline_helpful,alt_frame,320,5,0.5,0.44333333333333336,0.5566666666666666,0.9375,0.909375,0.9625,1.3062011994034264,1.2362973712108896,1.3762454592783337,0.3323456837551378,0.2994881805951884,0.36429031660058353
1b,baseline_helpful,negative_steer,320,5,0.456,0.396,0.52,0.78125,0.734375,0.825,1.0719769788417022,0.9891829309249973,1.151220677203157,0.5129433418534696,0.4693061488702544,0.5570361850490163
1b,baseline_helpful,positive_steer,320,5,0.54,0.476,0.604,0.78125,0.734375,0.825,1.0539627515965817,0.9724264226846138,1.138194704778828,0.5177711940126567,0.4751011505870257,0.5610609206189678
1b,baseline_helpful,same_frame_resample,320,5,0.5015873015873016,0.44761904761904764,0.5555555555555556,0.984375,0.96875,0.996875,1.9043381830103197,1.8596449833565092,1.9497152857597488,0.24155091250381439,0.22296642255378737,0.25924573621508273
1b,family_self,alt_frame,320,5,0.5307692307692308,0.47307692307692306,0.5923076923076923,0.8125,0.76875,0.853125,1.1173892811896526,1.0319331838964538,1.2022187808061688,0.39491471707861614,0.353526391048754,0.43693439756488806
1b,family_self,negative_steer,320,5,0.4666666666666667,0.4074074074074074,0.5222222222222223,0.84375,0.8,0.88125,1.3458582623268809,1.2676434572099633,1.424023134283961,0.44586082837776325,0.4075385456429394,0.48647072097387484
1b,family_self,positive_steer,320,5,0.43137254901960786,0.37254901960784315,0.49411764705882355,0.796875,0.75,0.840625,1.1814047580764755,1.0889088889198075,1.2801540825368605,0.5306853053353799,0.48679888493061524,0.5725812337826959
1b,family_self,same_frame_resample,320,5,0.4666666666666667,0.4126984126984127,0.5174603174603175,0.984375,0.96875,0.996875,1.880674348588903,1.8383760561539988,1.9216394632146745,0.2963143338975281,0.27872153280767725,0.31441748449542883
1b,stable_style_policy,alt_frame,320,5,0.45,0.38846153846153847,0.5115384615384615,0.8125,0.76875,0.853125,1.1173892811896526,1.0319331838964538,1.2022187808061688,0.39491471707861614,0.353526391048754,0.43693439756488806
1b,stable_style_policy,negative_steer,320,5,0.4163265306122449,0.3551020408163265,0.47765306122448925,0.765625,0.71875,0.809375,1.1993157911582677,1.1100733946506243,1.285807422775465,0.4323842409329483,0.39071485078336154,0.4768416639696119
1b,stable_style_policy,positive_steer,320,5,0.5346938775510204,0.46938775510204084,0.5959183673469388,0.765625,0.71875,0.8125,1.2127827099322537,1.1100709939809197,1.311406035811297,0.4816794869323494,0.43367171347834776,0.5317198447546123
1b,stable_style_policy,same_frame_resample,320,5,0.5128205128205128,0.4583333333333333,0.5673076923076923,0.975,0.95625,0.990625,1.7141388209168844,1.6570790279834504,1.7679764664515603,0.24164039867761794,0.21995715068450383,0.2630310018858918
