model_size_label,identity_frame,axis_name,difficulty_name,n,seed_count,choose_self_baseline_mean,choose_self_baseline_ci95_low,choose_self_baseline_ci95_high,pair_valid_mean,pair_valid_ci95_low,pair_valid_ci95_high,style_distance_mean,style_distance_ci95_low,style_distance_ci95_high,semantic_overlap_mean,semantic_overlap_ci95_low,semantic_overlap_ci95_high
1b,baseline_helpful,cautious_vs_assertive,alt_frame,6,1,0.4,0.0,0.8,0.8333333333333334,0.5,1.0,1.4763175976306684,0.8406919566348375,2.028758350701628,0.34948969075698577,0.11336218240386042,0.6597502315007856
1b,baseline_helpful,cautious_vs_assertive,negative_steer,6,1,0.0,0.0,0.0,0.8333333333333334,0.5,1.0,1.3011017643269145,0.7407210131710379,1.7260080490709309,0.6288762353525963,0.4075048526388534,0.8251314479938371
1b,baseline_helpful,cautious_vs_assertive,positive_steer,6,1,0.0,0.0,0.0,0.5,0.16666666666666666,0.8333333333333334,0.8187257551661998,0.23757108981700756,1.5026657311888496,0.6358699921877589,0.28733917658753383,0.9535935619947306
1b,baseline_helpful,cautious_vs_assertive,same_frame_resample,6,1,0.16666666666666666,0.0,0.5,1.0,1.0,1.0,1.9168772041747033,1.751640594269383,2.077065490090185,0.20731982467539253,0.08676145906444828,0.3237080643694004
1b,baseline_helpful,expansive_vs_terse,alt_frame,6,1,0.8,0.4,1.0,0.8333333333333334,0.5,1.0,1.4763175976306684,0.8406919566348375,2.028758350701628,0.34948969075698577,0.11336218240386042,0.6597502315007856
1b,baseline_helpful,expansive_vs_terse,negative_steer,6,1,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.0,1.3949242381427454,0.817223756421742,1.802119744460669,0.4421338395131739,0.17640273085352595,0.7487630653133103
1b,baseline_helpful,expansive_vs_terse,positive_steer,6,1,0.5,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.7648886406784999,0.24291625347578136,1.3224153958626665,0.6472419737382259,0.294589382293759,0.9534932526964606
1b,baseline_helpful,expansive_vs_terse,same_frame_resample,6,1,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.0,1.8798196060271033,1.5683061546235113,2.137454388792024,0.21477914154535405,0.1772668315987127,0.2538894373388708
1b,family_self,cautious_vs_assertive,alt_frame,6,1,0.75,0.25,1.0,0.6666666666666666,0.3333333333333333,1.0,1.3003557356192377,0.49511715466454936,2.0382204767187155,0.39282660309492096,0.059493269761587586,0.7509450462612962
1b,family_self,cautious_vs_assertive,negative_steer,6,1,0.5,0.16666666666666666,0.8333333333333334,1.0,1.0,1.0,1.8422981329158814,1.6656391954143204,1.9696038698296177,0.3464401256945584,0.0948791926798741,0.6200776189967099
1b,family_self,cautious_vs_assertive,positive_steer,6,1,0.5,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.2921470709982392,0.4410803848351604,2.0581861439023585,0.5625698223713553,0.2481619009970864,0.8715206117395379
1b,family_self,cautious_vs_assertive,same_frame_resample,6,1,0.2,0.0,0.6,0.8333333333333334,0.5,1.0,2.1528750332474567,1.9951894588394037,2.2805334356150317,0.2640151516008093,0.14034560318065828,0.3680082142587637
1b,family_self,expansive_vs_terse,alt_frame,6,1,0.25,0.0,0.75,0.6666666666666666,0.3333333333333333,1.0,1.3003557356192377,0.49511715466454936,2.0382204767187155,0.39282660309492096,0.059493269761587586,0.7509450462612962
1b,family_self,expansive_vs_terse,negative_steer,6,1,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,1.2221929924527395,0.695767921178355,1.6271434678764662,0.5347323981072142,0.2654478857248109,0.8477210087051217
1b,family_self,expansive_vs_terse,positive_steer,6,1,0.5,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.7903586035054296,0.2504702001573709,1.3453127695687448,0.6691548852573549,0.40389815908620624,0.9024626517140443
1b,family_self,expansive_vs_terse,same_frame_resample,6,1,0.5,0.16666666666666666,0.8333333333333334,1.0,1.0,1.0,2.176071742537524,1.8881878505970482,2.383577653243912,0.24650820465546375,0.09460310338272448,0.39595399869900744
1b,stable_style_policy,cautious_vs_assertive,alt_frame,6,1,0.25,0.0,0.75,0.6666666666666666,0.3333333333333333,1.0,1.3003557356192377,0.49511715466454936,2.0382204767187155,0.39282660309492096,0.059493269761587586,0.7509450462612962
1b,stable_style_policy,cautious_vs_assertive,negative_steer,6,1,0.5,0.16666666666666666,0.8333333333333334,1.0,1.0,1.0,1.8005849129438076,1.5221768518433845,2.1652648838563002,0.2740585268570126,0.0933623816726999,0.52029930131719
1b,stable_style_policy,cautious_vs_assertive,positive_steer,6,1,1.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6256906998144455,0.0,1.251498420602142,0.7157858935593332,0.39608357389449195,1.0
1b,stable_style_policy,cautious_vs_assertive,same_frame_resample,6,1,0.5,0.16666666666666666,0.8333333333333334,1.0,1.0,1.0,1.7607958015793006,1.637745426991704,1.8811612354474645,0.24686257839424272,0.15280136996094376,0.34835253182642467
1b,stable_style_policy,expansive_vs_terse,alt_frame,6,1,0.75,0.25,1.0,0.6666666666666666,0.3333333333333333,1.0,1.3003557356192377,0.49511715466454936,2.0382204767187155,0.39282660309492096,0.059493269761587586,0.7509450462612962
1b,stable_style_policy,expansive_vs_terse,negative_steer,6,1,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,1.596386728106559,0.9507053011100169,1.9950655192326692,0.26060664885445584,0.06944401535960908,0.5727466058513865
1b,stable_style_policy,expansive_vs_terse,positive_steer,6,1,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.0,1.527052046481708,0.9005186807145273,2.0761084826701675,0.5073764344681403,0.16666357159696626,0.8408335705894889
1b,stable_style_policy,expansive_vs_terse,same_frame_resample,6,1,0.5,0.16666666666666666,0.8333333333333334,1.0,1.0,1.0,1.9128464270752643,1.7542689107527272,2.071438752717729,0.13713165514059986,0.05809629286291989,0.21265163813066998
