model_size_label,identity_frame,prompt_family,difficulty_name,n,seed_count,choose_self_baseline_mean,choose_self_baseline_ci95_low,choose_self_baseline_ci95_high,pair_valid_mean,pair_valid_ci95_low,pair_valid_ci95_high,style_distance_mean,style_distance_ci95_low,style_distance_ci95_high,semantic_overlap_mean,semantic_overlap_ci95_low,semantic_overlap_ci95_high
1b,baseline_helpful,critique,alt_frame,4,1,0.75,0.25,1.0,1.0,1.0,1.0,1.4338529903287132,1.334888085748172,1.5328178949092546,0.15950776758292742,0.11455033013847217,0.2044652050273827
1b,baseline_helpful,critique,negative_steer,4,1,0.25,0.0,0.75,1.0,1.0,1.0,1.5659410555100781,1.281869309371654,1.7383985247756717,0.334822542843776,0.09697553850277552,0.5726695471847765
1b,baseline_helpful,critique,positive_steer,4,1,0.6666666666666666,0.0,1.0,0.75,0.25,1.0,0.9371365468142643,0.012212930923475081,1.8620601627050535,0.5173055634569348,0.034912054808679586,0.9996990721051902
1b,baseline_helpful,critique,same_frame_resample,4,1,0.0,0.0,0.0,1.0,1.0,1.0,1.6982856624832823,1.3300194607870746,1.9913786954479713,0.24328821901830278,0.1520509754753756,0.34420096969373265
1b,baseline_helpful,policy,alt_frame,4,1,0.75,0.25,1.0,1.0,1.0,1.0,2.2562581318883175,2.0887850571091287,2.4237312066675063,0.09028938981432691,0.0,0.18057877962865382
1b,baseline_helpful,policy,negative_steer,4,1,0.3333333333333333,0.0,1.0,0.75,0.25,1.0,1.24258395462806,0.36445024308030116,1.9242474048698417,0.48927366766914093,0.13285356791463057,0.8451035465982997
1b,baseline_helpful,policy,positive_steer,4,1,0.0,0.0,0.0,0.5,0.0,1.0,0.7207310149391833,0.0,1.4414620298783667,0.5465816994478505,0.09316339889570102,1.0
1b,baseline_helpful,policy,same_frame_resample,4,1,0.5,0.0,1.0,1.0,1.0,1.0,2.0195306371613198,1.7847692105400186,2.233706705159009,0.18348516160244469,0.1088600802128405,0.277077965386325
1b,baseline_helpful,triage,alt_frame,4,1,0.0,0.0,0.0,0.5,0.0,1.0,0.7388416706749741,0.0,1.4776833413499482,0.7986719148737029,0.597343829747406,1.0
1b,baseline_helpful,triage,negative_steer,4,1,0.0,0.0,0.0,1.0,1.0,1.0,1.2355139935663517,0.40684725037655944,1.8080772455108485,0.7824189017857384,0.6325291082353606,0.9347762102214808
1b,baseline_helpful,triage,positive_steer,4,1,0.0,0.0,0.0,0.5,0.0,1.0,0.717554032013602,0.0,1.435108064027204,0.8607806859841918,0.7215613719683835,1.0
1b,baseline_helpful,triage,same_frame_resample,4,1,0.25,0.0,0.75,1.0,1.0,1.0,1.9772289156581078,1.8418159182950788,2.1143932081084578,0.20637506871037242,0.07239901712636947,0.31134089813139026
1b,family_self,critique,alt_frame,4,1,1.0,1.0,1.0,0.5,0.0,1.0,1.1692016947438693,0.0,2.3384033894877385,0.5000000000000001,0.0,1.0000000000000002
1b,family_self,critique,negative_steer,4,1,0.75,0.25,1.0,1.0,1.0,1.0,1.6814334117945309,1.1974517216576404,2.0055173565608344,0.0629954198879221,0.0,0.1259908397758442
1b,family_self,critique,positive_steer,4,1,0.75,0.25,1.0,1.0,1.0,1.0,1.455194110842006,0.47867051755780343,2.1468124296949185,0.34233122668132926,0.07357989617613579,0.7718082853149439
1b,family_self,critique,same_frame_resample,4,1,0.3333333333333333,0.0,1.0,0.75,0.25,1.0,2.10238989769105,1.7037261599691056,2.339165137123169,0.03862947093664008,0.0,0.11588841280992024
1b,family_self,policy,alt_frame,4,1,0.5,0.0,1.0,1.0,1.0,1.0,1.9891897801170197,1.8895945031249108,2.0887850571091287,0.05206223989281841,0.0,0.10412447978563683
1b,family_self,policy,negative_steer,4,1,0.75,0.25,1.0,1.0,1.0,1.0,1.215484818019792,0.40898233170187787,1.7317024662416158,0.5638620750066249,0.2830627307172636,0.852341446848605
1b,family_self,policy,positive_steer,4,1,0.0,0.0,0.0,0.75,0.25,1.0,1.2996320370251055,0.39813462090025,2.0428716711218264,0.6609880224461475,0.3224083091729785,0.9995677357193166
1b,family_self,policy,same_frame_resample,4,1,0.25,0.0,0.75,1.0,1.0,1.0,2.071665742440731,1.9014385678985053,2.221549555474969,0.4091192610482815,0.3710086452604531,0.447314377689093
1b,family_self,triage,alt_frame,4,1,0.0,0.0,0.0,0.5,0.0,1.0,0.742675731996824,0.0,1.485351463993648,0.6264175693919444,0.2528351387838887,1.0
1b,family_self,triage,negative_steer,4,1,0.25,0.0,0.75,1.0,1.0,1.0,1.6998184582386084,1.4567181539057887,1.942918762571428,0.6949012908081118,0.4805947375345164,0.9092078440817071
1b,family_self,triage,positive_steer,4,1,1.0,1.0,1.0,0.25,0.0,0.75,0.3689323638883918,0.0,1.1067970916651753,0.8442678123155885,0.5328034369467654,1.0
1b,family_self,triage,same_frame_resample,4,1,0.5,0.0,1.0,1.0,1.0,1.0,2.3193645235456892,2.226872121229432,2.456496698389682,0.318036302399488,0.20604297703689436,0.42057138105589653
1b,stable_style_policy,critique,alt_frame,4,1,0.0,0.0,0.0,0.5,0.0,1.0,1.1692016947438693,0.0,2.3384033894877385,0.5000000000000001,0.0,1.0000000000000002
1b,stable_style_policy,critique,negative_steer,4,1,0.5,0.0,1.0,1.0,1.0,1.0,1.6164091747397706,1.452159136876012,1.7818599854025232,0.16288079987279583,0.0609979695145168,0.3206432592733963
1b,stable_style_policy,critique,positive_steer,4,1,0.3333333333333333,0.0,1.0,0.75,0.25,1.0,1.3701075428458402,0.4691802591308958,2.1070176929312923,0.5102232602513692,0.020446520502738267,1.0
1b,stable_style_policy,critique,same_frame_resample,4,1,0.5,0.0,1.0,1.0,1.0,1.0,1.8684525828375107,1.7911661728251997,1.9345172096021397,0.11442680527652135,0.0538222002878274,0.17503141026521532
1b,stable_style_policy,policy,alt_frame,4,1,0.75,0.25,1.0,1.0,1.0,1.0,1.9891897801170197,1.8895945031249108,2.0887850571091287,0.05206223989281841,0.0,0.10412447978563683
1b,stable_style_policy,policy,negative_steer,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.8255888229947643,1.6557314227289224,1.9954462232606063,0.12535567600554084,0.06716707141016595,0.1608326316381885
1b,stable_style_policy,policy,positive_steer,4,1,0.0,0.0,0.0,0.5,0.0,1.0,1.0591893948676139,0.0,2.118748711393052,0.5112503558842334,0.022500711768466745,1.0
1b,stable_style_policy,policy,same_frame_resample,4,1,0.5,0.0,1.0,1.0,1.0,1.0,1.7670018574800643,1.5810548577394476,2.0097146804286634,0.19378907991295505,0.12703223481486015,0.2589148122768655
1b,stable_style_policy,triage,alt_frame,4,1,0.5,0.0,1.0,0.5,0.0,1.0,0.742675731996824,0.0,1.485351463993648,0.6264175693919444,0.2528351387838887,1.0
1b,stable_style_policy,triage,negative_steer,4,1,0.5,0.0,1.0,1.0,1.0,1.0,1.6534594638410156,0.5149493528546327,2.4698077451455402,0.513761287688866,0.1182165609358651,0.9093060144418668
1b,stable_style_policy,triage,positive_steer,4,1,1.0,1.0,1.0,0.75,0.25,1.0,0.799817181730776,0.16672480296126135,1.4914297732529478,0.8132698759056076,0.4403667402628918,1.0
1b,stable_style_policy,triage,same_frame_resample,4,1,0.5,0.0,1.0,1.0,1.0,1.0,1.8750089026642724,1.6783797880639109,2.0908896850623857,0.26777546511278744,0.08600268071222446,0.40274381624516165
