model_size_label,identity_frame,difficulty_name,n,seed_count,choose_self_baseline_mean,choose_self_baseline_ci95_low,choose_self_baseline_ci95_high,pair_valid_mean,pair_valid_ci95_low,pair_valid_ci95_high,style_distance_mean,style_distance_ci95_low,style_distance_ci95_high,semantic_overlap_mean,semantic_overlap_ci95_low,semantic_overlap_ci95_high
1b,baseline_helpful,alt_frame,12,1,0.6,0.3,0.9,0.8333333333333334,0.5833333333333334,1.0,1.4763175976306684,1.0260317996694277,1.8777580263596574,0.34948969075698577,0.16916156901890247,0.5592108021354718
1b,baseline_helpful,negative_steer,12,1,0.18181818181818182,0.0,0.45454545454545453,0.9166666666666666,0.75,1.0,1.34801300123483,0.9458167029704789,1.672493490055814,0.5355050374328851,0.34505706767024813,0.7187631992258771
1b,baseline_helpful,positive_steer,12,1,0.2857142857142857,0.0,0.7142857142857143,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.7918071979223499,0.3647095385397925,1.2692043009298228,0.6415559829629923,0.38573298915390475,0.870403187823976
1b,baseline_helpful,same_frame_resample,12,1,0.25,0.0,0.5,1.0,1.0,1.0,1.8983484051009036,1.7221724366616546,2.0483562171214844,0.21104948311037328,0.14637733138659575,0.2703122868398063
1b,family_self,alt_frame,12,1,0.5,0.125,0.875,0.6666666666666666,0.4166666666666667,0.9166666666666666,1.3003557356192375,0.7697548416095569,1.851851002842201,0.39282660309492096,0.14282660309492093,0.6341495631127846
1b,family_self,negative_steer,12,1,0.5833333333333334,0.3333333333333333,0.8333333333333334,1.0,1.0,1.0,1.5322455626843103,1.1930442452305605,1.789645897101201,0.44058626190088623,0.23970782827891232,0.6397148556722412
1b,family_self,positive_steer,12,1,0.5,0.125,0.875,0.6666666666666666,0.4166666666666667,0.9166666666666666,1.0412528372518344,0.5178658474821562,1.542007426685068,0.6158623538143552,0.3876626775646997,0.8234140164870832
1b,family_self,same_frame_resample,12,1,0.36363636363636365,0.09090909090909091,0.6363636363636364,0.9166666666666666,0.75,1.0,2.16447338789249,2.0040793061320588,2.299255204002649,0.25526167812813655,0.1507259879953942,0.35032892618577566
1b,stable_style_policy,alt_frame,12,1,0.5,0.125,0.875,0.6666666666666666,0.4166666666666667,0.9166666666666666,1.3003557356192375,0.7697548416095569,1.851851002842201,0.39282660309492096,0.14282660309492093,0.6341495631127846
1b,stable_style_policy,negative_steer,12,1,0.6666666666666666,0.4166666666666667,0.9166666666666666,1.0,1.0,1.0,1.6984858205251834,1.316148763892283,2.00583810837744,0.26733258785573416,0.11183369059128,0.4579005611822392
1b,stable_style_policy,positive_steer,12,1,0.5,0.125,0.875,0.6666666666666666,0.4166666666666667,0.9166666666666666,1.0763713731480768,0.5924296131658701,1.610838645506846,0.6115811640137367,0.3277682291083319,0.8542994891805206
1b,stable_style_policy,same_frame_resample,12,1,0.5,0.25,0.75,1.0,1.0,1.0,1.8368211143272826,1.7320046375919025,1.9479627269130941,0.1919971167674213,0.12183274315269961,0.26349276393921456
