model_size_label,identity_frame,axis_name,wrapper_family,retained_effect_size,anti_steerable_rate,sign_flip_rate,control_gap_mean,n
160m,baseline_helpful,collaborative_vs_authoritative,genre,0.0256023274576447,0.1458333333333333,0.2708333333333333,0.0050855240637603,48
160m,baseline_helpful,collaborative_vs_authoritative,system,0.017540489440837,0.175,0.15,0.0184312934228753,40
160m,baseline_helpful,collaborative_vs_authoritative,topic_shift,-0.0054912886214084,1.0,0.5,-0.0109825772428169,8
160m,baseline_helpful,expansive_vs_terse,genre,-0.0003483017181677,0.7916666666666666,0.2916666666666667,-0.0038366386300584,48
160m,baseline_helpful,expansive_vs_terse,system,-0.0007671211543728,0.675,0.225,0.0027193106789157,40
160m,baseline_helpful,expansive_vs_terse,topic_shift,0.0120234070509557,0.5,0.0,0.0240468141019114,8
160m,tool_only,collaborative_vs_authoritative,genre,0.008232059176049,0.4583333333333333,0.25,-0.012015122333365,48
160m,tool_only,collaborative_vs_authoritative,system,0.0042776538940678,0.45,0.25,-0.0012849575517318,40
160m,tool_only,collaborative_vs_authoritative,topic_shift,0.0036878574265406,0.5,0.25,0.0073757148530813,8
160m,tool_only,expansive_vs_terse,genre,-0.004685410594064,0.7916666666666666,0.3125,0.0131076110139017,48
160m,tool_only,expansive_vs_terse,system,0.0050607366614029,0.675,0.175,-0.0077608852075565,40
160m,tool_only,expansive_vs_terse,topic_shift,0.0,1.0,0.0,0.0,8
70m,baseline_helpful,collaborative_vs_authoritative,genre,0.0136580072453827,0.25,0.25,-0.0005305000966505,48
70m,baseline_helpful,collaborative_vs_authoritative,system,0.0030720935610556,0.75,0.5,0.0,40
70m,baseline_helpful,collaborative_vs_authoritative,topic_shift,0.0018632845516401,0.0,0.0,0.0,8
70m,baseline_helpful,expansive_vs_terse,genre,0.0084383590830332,0.6875,0.3125,-0.0048591620288079,48
70m,baseline_helpful,expansive_vs_terse,system,0.0036760327243594,0.725,0.15,0.0049248872677971,40
70m,baseline_helpful,expansive_vs_terse,topic_shift,0.0163318969388588,0.5,0.375,-0.0326637938777177,8
70m,tool_only,collaborative_vs_authoritative,genre,0.0174198883645255,0.2708333333333333,0.0625,-0.0006691413852433,48
70m,tool_only,collaborative_vs_authoritative,system,0.0022138513846737,0.675,0.325,0.0013806094505849,40
70m,tool_only,collaborative_vs_authoritative,topic_shift,0.0109559198144692,0.0,0.125,0.0060628999939813,8
70m,tool_only,expansive_vs_terse,genre,0.0001473785498576,0.5625,0.1666666666666666,-0.0174028523768612,48
70m,tool_only,expansive_vs_terse,system,0.0102185537450703,0.575,0.025,-0.0204371074901407,40
70m,tool_only,expansive_vs_terse,topic_shift,0.0182418634949449,0.5,0.0,-0.0364837269898898,8
