model_size_label,identity_frame,concept_axis,injection_site,axis_shift_mean,axis_shift_ci95_low,axis_shift_ci95_high,n
160m,baseline_helpful,cautious_vs_assertive,first_generated,0.0018479302730032,-0.0002601938606885,0.004263466891963,16
160m,baseline_helpful,cautious_vs_assertive,last_prompt,0.0059194573945285,0.0018991604257399,0.0102117049013796,16
160m,baseline_helpful,expansive_vs_terse,first_generated,0.0051090033425954,0.0005131034213324,0.0107636458153373,16
160m,baseline_helpful,expansive_vs_terse,last_prompt,0.0005565525829148,-0.0045003089046068,0.0050332786209919,16
160m,tool_only,cautious_vs_assertive,first_generated,0.0048776913310321,0.0011727965766468,0.0090940501249503,16
160m,tool_only,cautious_vs_assertive,last_prompt,0.0026460246158546,0.0008660418979205,0.0048332517552695,16
160m,tool_only,expansive_vs_terse,first_generated,-0.0004695487861205,-0.0053312374097185,0.002929507245227,16
160m,tool_only,expansive_vs_terse,last_prompt,-0.0032065414767396,-0.0065735936919026,-0.0005110451066342,16
70m,baseline_helpful,cautious_vs_assertive,first_generated,-0.0002245343556004,-0.0038022587428097,0.0034187084182837,16
70m,baseline_helpful,cautious_vs_assertive,last_prompt,-0.0031986583239054,-0.0082992184788096,0.0009757468700967,16
70m,baseline_helpful,expansive_vs_terse,first_generated,-0.0038164974590415,-0.0117253604577427,0.0021060850932245,16
70m,baseline_helpful,expansive_vs_terse,last_prompt,-0.006201884124613,-0.0132335434318518,0.0006976045508413,16
70m,tool_only,cautious_vs_assertive,first_generated,0.0037006647160712,-0.0013244878573355,0.0083514130026875,16
70m,tool_only,cautious_vs_assertive,last_prompt,-0.0003833459827603,-0.0022801996438895,0.0015250432168039,16
70m,tool_only,expansive_vs_terse,first_generated,-0.0033477981638942,-0.0118856305533969,0.0041726004571845,16
70m,tool_only,expansive_vs_terse,last_prompt,-0.0013390743235162,-0.0085097053927717,0.0048379235570708,16
