model_size_label,identity_frame,concept_axis,injection_site,axis_shift_mean,axis_shift_ci95_low,axis_shift_ci95_high,n
160m,baseline_helpful,cautious_vs_assertive,first_generated,0.0018479302730032808,-0.0002601938606885468,0.0042634668919630065,16
160m,baseline_helpful,cautious_vs_assertive,last_prompt,0.005919457394528597,0.0018991604257399758,0.010211704901379652,16
160m,baseline_helpful,expansive_vs_terse,first_generated,0.005109003342595463,0.0005131034213324174,0.01076364581533739,16
160m,baseline_helpful,expansive_vs_terse,last_prompt,0.0005565525829148992,-0.004500308904606881,0.005033278620991965,16
160m,tool_only,cautious_vs_assertive,first_generated,0.004877691331032125,0.0011727965766468625,0.009094050124950369,16
160m,tool_only,cautious_vs_assertive,last_prompt,0.002646024615854691,0.0008660418979205807,0.004833251755269549,16
160m,tool_only,expansive_vs_terse,first_generated,-0.00046954878612054157,-0.005331237409718588,0.0029295072452270635,16
160m,tool_only,expansive_vs_terse,last_prompt,-0.003206541476739628,-0.006573593691902649,-0.0005110451066342206,16
70m,baseline_helpful,cautious_vs_assertive,first_generated,-0.00022453435560047049,-0.0038022587428097514,0.003418708418283753,16
70m,baseline_helpful,cautious_vs_assertive,last_prompt,-0.0031986583239054026,-0.008299218478809671,0.0009757468700967246,16
70m,baseline_helpful,expansive_vs_terse,first_generated,-0.003816497459041521,-0.011725360457742787,0.0021060850932245645,16
70m,baseline_helpful,expansive_vs_terse,last_prompt,-0.006201884124613035,-0.013233543431851805,0.00069760455084135,16
70m,tool_only,cautious_vs_assertive,first_generated,0.003700664716071271,-0.0013244878573355548,0.008351413002687503,16
70m,tool_only,cautious_vs_assertive,last_prompt,-0.00038334598276035714,-0.0022801996438895425,0.0015250432168039353,16
70m,tool_only,expansive_vs_terse,first_generated,-0.00334779816389426,-0.011885630553396982,0.004172600457184557,16
70m,tool_only,expansive_vs_terse,last_prompt,-0.0013390743235162567,-0.008509705392771738,0.004837923557070813,16
