model_size_label,identity_frame,condition,return_to_baseline_index_mean,semantic_overlap_with_baseline_mean,stylometric_distance_to_baseline_mean,n
1b,baseline_helpful,prompt_only_delayed,-21.337801305087527,0.13237039522968183,1.321551674611367,3
1b,baseline_helpful,prompt_only_immediate,-21.337801305087527,0.13237039522968183,1.321551674611367,3
1b,family_self,prompt_only_delayed,0.03255214720277799,0.409648413222181,1.5126456571378506,3
1b,family_self,prompt_only_immediate,0.03255214720277799,0.409648413222181,1.5126456571378506,3
1b,tool_only,prompt_only_delayed,-5360.5878186797845,0.5639031865296329,1.5985352810750484,3
1b,tool_only,prompt_only_immediate,-11923.367368867985,0.35535005150363447,1.6481693548568457,3
70m,baseline_helpful,prompt_only_delayed,-4701.400861725405,0.16609760238878254,1.30350596151159,3
70m,baseline_helpful,prompt_only_immediate,-3257.3826942413416,0.16101529717988267,2.105112750104912,3
70m,family_self,prompt_only_delayed,0.30979358233400806,0.2392044248611739,1.113845498025188,3
70m,family_self,prompt_only_immediate,0.30979358233400806,0.2392044248611739,1.113845498025188,3
70m,tool_only,prompt_only_delayed,-142.31444007996575,0.5751239836268545,1.009240024523383,3
70m,tool_only,prompt_only_immediate,-146.0790340641859,0.8282433478957488,0.8466326688501171,3
