model_size_label,identity_frame,axis_name,wrapper_family,retained_effect_size,anti_steerable_rate,sign_flip_rate,control_gap_mean,n
160m,baseline_helpful,collaborative_vs_authoritative,genre,0.025602327457644753,0.14583333333333334,0.2708333333333333,0.005085524063760372,48
160m,baseline_helpful,collaborative_vs_authoritative,system,0.01754048944083701,0.175,0.15,0.01843129342287531,40
160m,baseline_helpful,collaborative_vs_authoritative,topic_shift,-0.005491288621408455,1.0,0.5,-0.01098257724281691,8
160m,baseline_helpful,expansive_vs_terse,genre,-0.0003483017181677701,0.7916666666666666,0.2916666666666667,-0.003836638630058456,48
160m,baseline_helpful,expansive_vs_terse,system,-0.0007671211543728285,0.675,0.225,0.0027193106789157443,40
160m,baseline_helpful,expansive_vs_terse,topic_shift,0.01202340705095574,0.5,0.0,0.02404681410191148,8
160m,tool_only,collaborative_vs_authoritative,genre,0.008232059176049038,0.4583333333333333,0.25,-0.012015122333365004,48
160m,tool_only,collaborative_vs_authoritative,system,0.004277653894067843,0.45,0.25,-0.0012849575517318605,40
160m,tool_only,collaborative_vs_authoritative,topic_shift,0.0036878574265406814,0.5,0.25,0.007375714853081363,8
160m,tool_only,expansive_vs_terse,genre,-0.004685410594064044,0.7916666666666666,0.3125,0.013107611013901769,48
160m,tool_only,expansive_vs_terse,system,0.005060736661402964,0.675,0.175,-0.0077608852075565365,40
160m,tool_only,expansive_vs_terse,topic_shift,0.0,1.0,0.0,0.0,8
70m,baseline_helpful,collaborative_vs_authoritative,genre,0.013658007245382756,0.25,0.25,-0.0005305000966505848,48
70m,baseline_helpful,collaborative_vs_authoritative,system,0.0030720935610556153,0.75,0.5,0.0,40
70m,baseline_helpful,collaborative_vs_authoritative,topic_shift,0.0018632845516401587,0.0,0.0,0.0,8
70m,baseline_helpful,expansive_vs_terse,genre,0.008438359083033274,0.6875,0.3125,-0.004859162028807911,48
70m,baseline_helpful,expansive_vs_terse,system,0.0036760327243594557,0.725,0.15,0.004924887267797166,40
70m,baseline_helpful,expansive_vs_terse,topic_shift,0.016331896938858868,0.5,0.375,-0.032663793877717735,8
70m,tool_only,collaborative_vs_authoritative,genre,0.017419888364525585,0.2708333333333333,0.0625,-0.0006691413852433952,48
70m,tool_only,collaborative_vs_authoritative,system,0.002213851384673793,0.675,0.325,0.0013806094505849,40
70m,tool_only,collaborative_vs_authoritative,topic_shift,0.010955919814469278,0.0,0.125,0.006062899993981373,8
70m,tool_only,expansive_vs_terse,genre,0.0001473785498576264,0.5625,0.16666666666666666,-0.017402852376861264,48
70m,tool_only,expansive_vs_terse,system,0.01021855374507036,0.575,0.025,-0.02043710749014072,40
70m,tool_only,expansive_vs_terse,topic_shift,0.01824186349494491,0.5,0.0,-0.03648372698988982,8
