model_size_label,identity_frame,difficulty,self_recognition_accuracy_mean,axis_gap_mean,style_distance_mean,semantic_overlap_mean,n
1b,baseline_helpful,far_alt_frame,0.5,0.011965875999603023,0.8563906697922528,0.4060881510640732,16
1b,baseline_helpful,medium_contrary,0.5625,0.0116318990069526,0.9420244241641298,0.6023767542136411,16
1b,baseline_helpful,near_contrary,0.5,0.0068431096811668295,0.559309308651653,0.7763754653500266,16
1b,family_self,far_alt_frame,0.625,0.009008968711644739,0.9708522917106188,0.494267946881235,16
1b,family_self,medium_contrary,0.3125,0.010888281596950638,0.9093792997420407,0.4482918997378083,16
1b,family_self,near_contrary,0.5625,0.0012943484415132889,0.6474647910815308,0.7381060193357825,16
1b,tool_only,far_alt_frame,0.1875,0.009008968711644739,0.9708522917106188,0.494267946881235,16
1b,tool_only,medium_contrary,0.4375,0.02019334562867697,1.1443457356481244,0.4266354994046554,16
1b,tool_only,near_contrary,0.5625,0.002015375893874756,0.0346541433186814,0.9262673148460048,16
70m,baseline_helpful,far_alt_frame,0.75,0.014179290521459886,1.5346466399174776,0.3046142516093311,16
70m,baseline_helpful,medium_contrary,0.375,0.003938693346678421,0.73754083797662,0.502460688830204,16
70m,baseline_helpful,near_contrary,0.4375,0.006217527047663141,0.7443850446978765,0.5207424994333822,16
70m,family_self,far_alt_frame,0.625,0.009052961829149542,1.3661163344237732,0.3194544811342168,16
70m,family_self,medium_contrary,0.375,0.004653402971685176,1.116060577761547,0.47111252006961596,16
70m,family_self,near_contrary,0.4375,0.004495311879822071,1.1243699001112475,0.5037398008633162,16
70m,tool_only,far_alt_frame,0.4375,0.009052961829149542,1.3661163344237732,0.3194544811342168,16
70m,tool_only,medium_contrary,0.5,0.01568684953000491,1.5296231499914903,0.2862546402806026,16
70m,tool_only,near_contrary,0.6875,0.0030523594226420456,0.4894437744388026,0.8067318787906661,16
