evaluator_revision,source_revision,n,avg_logprob_mean,avg_logprob_ci95_low,avg_logprob_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,self_preferred_mean,self_preferred_ci95_low,self_preferred_ci95_high,distance_from_diagonal_mean,distance_from_diagonal_ci95_low,distance_from_diagonal_ci95_high,diagonal_margin_logprob_mean,diagonal_margin_logprob_ci95_low,diagonal_margin_logprob_ci95_high
step128000,step128000,6,-1.4749823411305745,-1.7274017532666524,-1.261319597562154,4.5798833642661485,3.572404248634298,5.9486302604127035,0.5,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,-0.03103492259979248,-0.1468712329864502,0.08465971946716308
step128000,step143000,6,-1.3621882796287537,-1.6228742202123005,-1.1423542102177937,4.102892425396073,3.160129293022621,5.352652852435753,0.0,0.0,0.0,15000.0,15000.0,15000.0,-0.2486780881881714,-0.2486780881881714,-0.2486780881881714
step128000,step16000,10,-1.6705265045166016,-1.8427672988176347,-1.5267907026410101,5.480241640464669,4.6991506792262845,6.542857886468536,0.2,0.0,0.5,112000.0,112000.0,112000.0,0.0007056792577107748,-0.2486780881881714,0.12816524505615234
step128000,step64000,9,-1.3235634962717693,-1.4458910405635834,-1.2178660273551942,3.8141634749608437,3.416623766531079,4.300691113993565,0.1111111111111111,0.0,0.3333333333333333,64000.0,64000.0,64000.0,-0.07083496451377869,-0.20608147978782654,0.07222241163253784
step143000,step128000,6,-1.4840834339459736,-1.715038259824117,-1.2548218568166096,4.606988723670425,3.554897097625368,5.835875942831102,0.16666666666666666,0.0,0.5,15000.0,15000.0,15000.0,0.009856462478637695,0.009856462478637695,0.009856462478637695
step143000,step143000,6,-1.3355270226796467,-1.594677746295929,-1.1161774794260662,3.9896354536601604,3.0752888209577924,5.186342080326283,0.8333333333333334,0.5,1.0,0.0,0.0,0.0,0.03962294260660807,-0.07269155979156494,0.18170392513275146
step143000,step16000,10,-1.6667620897293092,-1.8363772964477538,-1.5110248896479606,5.472348488775905,4.649669991297327,6.543043471408025,0.2,0.0,0.5,127000.0,127000.0,127000.0,0.09578019380569458,0.009856462478637695,0.18170392513275146
step143000,step64000,9,-1.312090688281589,-1.4322427133719127,-1.2084854553143185,3.7713067010171795,3.372000193909947,4.246423416614305,0.1111111111111111,0.0,0.3333333333333333,79000.0,79000.0,79000.0,-0.03141754865646362,-0.07269155979156494,0.009856462478637695
step16000,step128000,6,-1.695939838886261,-1.9497011303901672,-1.4892752567927043,5.6932885540332485,4.540338702589369,7.331863007274616,0.3333333333333333,0.0,0.6666666666666666,112000.0,112000.0,112000.0,0.052415172259012856,-0.24511313438415527,0.25027453899383545
step16000,step143000,6,-1.523751695950826,-1.7989277044932048,-1.2862999041875203,4.848379586618672,3.6934597416282537,6.352455440097863,0.16666666666666666,0.0,0.5,127000.0,127000.0,127000.0,-0.06814271211624146,-0.24511313438415527,0.10882771015167236
step16000,step16000,10,-1.5288625359535217,-1.6797540444135666,-1.392874420285225,4.730080921987676,4.124475108607119,5.506373780353255,0.9,0.7,1.0,0.0,0.0,0.0,0.06651830673217773,-0.15662792325019836,0.21491283178329468
step16000,step64000,9,-1.4683898422453139,-1.6138714243968328,-1.3478981160455281,4.4374225689122575,3.896879766349919,5.129797077272804,0.1111111111111111,0.0,0.3333333333333333,48000.0,48000.0,48000.0,-0.04651451110839844,-0.24511313438415527,0.1520841121673584
step4000,step128000,6,-1.9119035204251607,-2.096850942075253,-1.735420641799768,6.946001309748573,5.783195753862632,8.32124251963437,0.0,0.0,0.0,124000.0,124000.0,124000.0,,,
step4000,step143000,6,-1.6460007031758626,-1.9479718208312988,-1.3608964681625366,5.571306418308769,4.013742835682752,7.567467186202145,0.0,0.0,0.0,139000.0,139000.0,139000.0,,,
step4000,step16000,10,-1.804815137386322,-1.953137184083462,-1.6619920510053636,6.255012278556418,5.360431306668511,7.228818813515462,0.0,0.0,0.0,12000.0,12000.0,12000.0,,,
step4000,step64000,9,-1.6970961491266887,-1.8661680658658346,-1.5469671239455542,5.62171552653955,4.803991916241392,6.624334780802055,0.0,0.0,0.0,60000.0,60000.0,60000.0,,,
step64000,step128000,6,-1.6122451424598694,-1.8905466397603352,-1.3567802906036377,5.325368497075419,3.9224453499501286,7.070866054349436,0.5,0.16666666666666666,0.8333333333333334,64000.0,64000.0,64000.0,0.19046589732170105,0.008434653282165527,0.31747519969940186
step64000,step143000,6,-1.4541464646657307,-1.7045093874136608,-1.2149230668942135,4.514455596742615,3.4392986750497747,5.861074753246927,0.3333333333333333,0.0,0.6666666666666666,79000.0,79000.0,79000.0,0.18686994910240173,0.14066988229751587,0.2330700159072876
step64000,step16000,10,-1.6445073127746581,-1.822194413244724,-1.4919528740644454,5.369038532816733,4.524324797021729,6.483410004676716,0.1,0.0,0.3,48000.0,48000.0,48000.0,0.07503455877304077,-0.08300089836120605,0.2330700159072876
step64000,step64000,9,-1.275457759698232,-1.3938586672147115,-1.1691097882058885,3.63092241512584,3.2587853413767696,4.074559345244102,0.8888888888888888,0.6666666666666666,1.0,0.0,0.0,0.0,0.180506694316864,0.05336172580718994,0.2906767016649246
