model_size_label,identity_frame,difficulty,self_recognition_accuracy_mean,axis_gap_mean,style_distance_mean,semantic_overlap_mean,n
1b,baseline_helpful,far_alt_frame,0.4125,0.012501064489147073,0.7616766485552677,0.4454655266548076,80
1b,baseline_helpful,medium_contrary,0.5375,0.011334296861898806,0.7053263993941264,0.6789092865976298,80
1b,baseline_helpful,near_contrary,0.5,0.004848797104549822,0.4632714113980497,0.802982777059683,80
1b,family_self,far_alt_frame,0.6375,0.015192348160639144,0.8561427091748766,0.4873091564087756,80
1b,family_self,medium_contrary,0.4125,0.01203473237662923,0.8970560409816868,0.5422809829018638,80
1b,family_self,near_contrary,0.5125,0.001365632054871408,0.39219053874219406,0.856428047600643,80
1b,tool_only,far_alt_frame,0.4125,0.015192348160639144,0.8561427091748766,0.4873091564087756,80
1b,tool_only,medium_contrary,0.4375,0.015084841175668462,0.970490063856138,0.4757807640662722,80
1b,tool_only,near_contrary,0.475,0.004296093452581758,0.23294699604385127,0.7756270245540696,80
2.8b,baseline_helpful,far_alt_frame,0.6625,0.012373343198723078,0.6338922730094364,0.5530203514064871,80
2.8b,baseline_helpful,medium_contrary,0.5125,0.01655555070026517,1.080458683701599,0.5015740136744681,80
2.8b,baseline_helpful,near_contrary,0.475,0.007854686224065873,0.4914237518273776,0.786121738886647,80
2.8b,family_self,far_alt_frame,0.4625,0.01818914989868206,1.2508494754688075,0.4072022659443485,80
2.8b,family_self,medium_contrary,0.55,0.005458718215286078,0.7724212728604603,0.6840286152840739,80
2.8b,family_self,near_contrary,0.475,0.004912081356998687,0.38831860984487165,0.8513102943195096,80
2.8b,tool_only,far_alt_frame,0.5875,0.01818914989868206,1.2508494754688075,0.4072022659443485,80
2.8b,tool_only,medium_contrary,0.525,0.01550630033281826,0.946884136808231,0.5450938530999416,80
2.8b,tool_only,near_contrary,0.4625,0.008384663255817342,0.6845156606188588,0.6562995677100382,80
410m,baseline_helpful,far_alt_frame,0.4125,0.011556250533117355,1.0032129445677223,0.5630942507099743,80
410m,baseline_helpful,medium_contrary,0.5375,0.009254333526998693,0.750549822834249,0.6192661577486146,80
410m,baseline_helpful,near_contrary,0.4875,0.005230319796593401,0.42425171972524767,0.8177067594270268,80
410m,family_self,far_alt_frame,0.4375,0.010433208741131145,0.7163349511574489,0.4342440196410754,80
410m,family_self,medium_contrary,0.475,0.00899071811242183,0.5766333595241948,0.6168083640320663,80
410m,family_self,near_contrary,0.525,0.0034133623236967696,0.3891066620474559,0.8178107409460373,80
410m,tool_only,far_alt_frame,0.55,0.010433208741131145,0.7163349511574489,0.4342440196410754,80
410m,tool_only,medium_contrary,0.6625,0.010756312797691276,0.8121128856480759,0.6387632112396012,80
410m,tool_only,near_contrary,0.4125,0.0021509080319350835,0.4832077050050908,0.7993424464801097,80
70m,baseline_helpful,far_alt_frame,0.7375,0.011542153183571588,1.4860134721627936,0.29459164518036096,80
70m,baseline_helpful,medium_contrary,0.475,0.003048816817282284,0.5970450778920251,0.575176613708865,80
70m,baseline_helpful,near_contrary,0.5375,0.005385812853728761,0.6185182514203247,0.5436271661412718,80
70m,family_self,far_alt_frame,0.6125,0.009586858943342002,1.47327504927769,0.2797485583196724,80
70m,family_self,medium_contrary,0.45,0.004694899337803607,1.0931922730160533,0.4838902412720719,80
70m,family_self,near_contrary,0.5125,0.006367883476784063,1.1892977092459844,0.4324145378598094,80
70m,tool_only,far_alt_frame,0.3375,0.009586858943342002,1.47327504927769,0.2797485583196724,80
70m,tool_only,medium_contrary,0.6,0.013240972320940386,1.5294340520275447,0.24525988121173645,80
70m,tool_only,near_contrary,0.5625,0.003784217703816921,0.63289320134609,0.7006987084066354,80
