model_size_label,identity_frame,axis_name,difficulty,self_recognition_accuracy_mean,n
1b,baseline_helpful,cautious_vs_assertive,far_alt_frame,0.6,20
1b,baseline_helpful,cautious_vs_assertive,medium_contrary,0.5,20
1b,baseline_helpful,cautious_vs_assertive,near_contrary,0.6,20
1b,baseline_helpful,collaborative_vs_authoritative,far_alt_frame,0.4,20
1b,baseline_helpful,collaborative_vs_authoritative,medium_contrary,0.5,20
1b,baseline_helpful,collaborative_vs_authoritative,near_contrary,0.45,20
1b,baseline_helpful,expansive_vs_terse,far_alt_frame,0.35,20
1b,baseline_helpful,expansive_vs_terse,medium_contrary,0.65,20
1b,baseline_helpful,expansive_vs_terse,near_contrary,0.5,20
1b,baseline_helpful,selfref_vs_impersonal,far_alt_frame,0.3,20
1b,baseline_helpful,selfref_vs_impersonal,medium_contrary,0.5,20
1b,baseline_helpful,selfref_vs_impersonal,near_contrary,0.45,20
1b,family_self,cautious_vs_assertive,far_alt_frame,0.65,20
1b,family_self,cautious_vs_assertive,medium_contrary,0.55,20
1b,family_self,cautious_vs_assertive,near_contrary,0.65,20
1b,family_self,collaborative_vs_authoritative,far_alt_frame,0.4,20
1b,family_self,collaborative_vs_authoritative,medium_contrary,0.2,20
1b,family_self,collaborative_vs_authoritative,near_contrary,0.5,20
1b,family_self,expansive_vs_terse,far_alt_frame,0.65,20
1b,family_self,expansive_vs_terse,medium_contrary,0.25,20
1b,family_self,expansive_vs_terse,near_contrary,0.6,20
1b,family_self,selfref_vs_impersonal,far_alt_frame,0.85,20
1b,family_self,selfref_vs_impersonal,medium_contrary,0.65,20
1b,family_self,selfref_vs_impersonal,near_contrary,0.3,20
1b,tool_only,cautious_vs_assertive,far_alt_frame,0.3,20
1b,tool_only,cautious_vs_assertive,medium_contrary,0.35,20
1b,tool_only,cautious_vs_assertive,near_contrary,0.5,20
1b,tool_only,collaborative_vs_authoritative,far_alt_frame,0.35,20
1b,tool_only,collaborative_vs_authoritative,medium_contrary,0.5,20
1b,tool_only,collaborative_vs_authoritative,near_contrary,0.45,20
1b,tool_only,expansive_vs_terse,far_alt_frame,0.5,20
1b,tool_only,expansive_vs_terse,medium_contrary,0.5,20
1b,tool_only,expansive_vs_terse,near_contrary,0.5,20
1b,tool_only,selfref_vs_impersonal,far_alt_frame,0.5,20
1b,tool_only,selfref_vs_impersonal,medium_contrary,0.4,20
1b,tool_only,selfref_vs_impersonal,near_contrary,0.45,20
2.8b,baseline_helpful,cautious_vs_assertive,far_alt_frame,0.7,20
2.8b,baseline_helpful,cautious_vs_assertive,medium_contrary,0.45,20
2.8b,baseline_helpful,cautious_vs_assertive,near_contrary,0.55,20
2.8b,baseline_helpful,collaborative_vs_authoritative,far_alt_frame,0.6,20
2.8b,baseline_helpful,collaborative_vs_authoritative,medium_contrary,0.5,20
2.8b,baseline_helpful,collaborative_vs_authoritative,near_contrary,0.6,20
2.8b,baseline_helpful,expansive_vs_terse,far_alt_frame,0.65,20
2.8b,baseline_helpful,expansive_vs_terse,medium_contrary,0.5,20
2.8b,baseline_helpful,expansive_vs_terse,near_contrary,0.4,20
2.8b,baseline_helpful,selfref_vs_impersonal,far_alt_frame,0.7,20
2.8b,baseline_helpful,selfref_vs_impersonal,medium_contrary,0.6,20
2.8b,baseline_helpful,selfref_vs_impersonal,near_contrary,0.35,20
2.8b,family_self,cautious_vs_assertive,far_alt_frame,0.45,20
2.8b,family_self,cautious_vs_assertive,medium_contrary,0.4,20
2.8b,family_self,cautious_vs_assertive,near_contrary,0.5,20
2.8b,family_self,collaborative_vs_authoritative,far_alt_frame,0.6,20
2.8b,family_self,collaborative_vs_authoritative,medium_contrary,0.55,20
2.8b,family_self,collaborative_vs_authoritative,near_contrary,0.35,20
2.8b,family_self,expansive_vs_terse,far_alt_frame,0.45,20
2.8b,family_self,expansive_vs_terse,medium_contrary,0.5,20
2.8b,family_self,expansive_vs_terse,near_contrary,0.5,20
2.8b,family_self,selfref_vs_impersonal,far_alt_frame,0.35,20
2.8b,family_self,selfref_vs_impersonal,medium_contrary,0.75,20
2.8b,family_self,selfref_vs_impersonal,near_contrary,0.55,20
2.8b,tool_only,cautious_vs_assertive,far_alt_frame,0.5,20
2.8b,tool_only,cautious_vs_assertive,medium_contrary,0.55,20
2.8b,tool_only,cautious_vs_assertive,near_contrary,0.5,20
2.8b,tool_only,collaborative_vs_authoritative,far_alt_frame,0.75,20
2.8b,tool_only,collaborative_vs_authoritative,medium_contrary,0.6,20
2.8b,tool_only,collaborative_vs_authoritative,near_contrary,0.45,20
2.8b,tool_only,expansive_vs_terse,far_alt_frame,0.55,20
2.8b,tool_only,expansive_vs_terse,medium_contrary,0.4,20
2.8b,tool_only,expansive_vs_terse,near_contrary,0.55,20
2.8b,tool_only,selfref_vs_impersonal,far_alt_frame,0.55,20
2.8b,tool_only,selfref_vs_impersonal,medium_contrary,0.55,20
2.8b,tool_only,selfref_vs_impersonal,near_contrary,0.35,20
410m,baseline_helpful,cautious_vs_assertive,far_alt_frame,0.45,20
410m,baseline_helpful,cautious_vs_assertive,medium_contrary,0.5,20
410m,baseline_helpful,cautious_vs_assertive,near_contrary,0.4,20
410m,baseline_helpful,collaborative_vs_authoritative,far_alt_frame,0.45,20
410m,baseline_helpful,collaborative_vs_authoritative,medium_contrary,0.55,20
410m,baseline_helpful,collaborative_vs_authoritative,near_contrary,0.65,20
410m,baseline_helpful,expansive_vs_terse,far_alt_frame,0.25,20
410m,baseline_helpful,expansive_vs_terse,medium_contrary,0.5,20
410m,baseline_helpful,expansive_vs_terse,near_contrary,0.25,20
410m,baseline_helpful,selfref_vs_impersonal,far_alt_frame,0.5,20
410m,baseline_helpful,selfref_vs_impersonal,medium_contrary,0.6,20
410m,baseline_helpful,selfref_vs_impersonal,near_contrary,0.65,20
410m,family_self,cautious_vs_assertive,far_alt_frame,0.25,20
410m,family_self,cautious_vs_assertive,medium_contrary,0.2,20
410m,family_self,cautious_vs_assertive,near_contrary,0.3,20
410m,family_self,collaborative_vs_authoritative,far_alt_frame,0.4,20
410m,family_self,collaborative_vs_authoritative,medium_contrary,0.75,20
410m,family_self,collaborative_vs_authoritative,near_contrary,0.6,20
410m,family_self,expansive_vs_terse,far_alt_frame,0.6,20
410m,family_self,expansive_vs_terse,medium_contrary,0.35,20
410m,family_self,expansive_vs_terse,near_contrary,0.5,20
410m,family_self,selfref_vs_impersonal,far_alt_frame,0.5,20
410m,family_self,selfref_vs_impersonal,medium_contrary,0.6,20
410m,family_self,selfref_vs_impersonal,near_contrary,0.7,20
410m,tool_only,cautious_vs_assertive,far_alt_frame,0.4,20
410m,tool_only,cautious_vs_assertive,medium_contrary,0.7,20
410m,tool_only,cautious_vs_assertive,near_contrary,0.3,20
410m,tool_only,collaborative_vs_authoritative,far_alt_frame,0.35,20
410m,tool_only,collaborative_vs_authoritative,medium_contrary,0.6,20
410m,tool_only,collaborative_vs_authoritative,near_contrary,0.45,20
410m,tool_only,expansive_vs_terse,far_alt_frame,0.65,20
410m,tool_only,expansive_vs_terse,medium_contrary,0.65,20
410m,tool_only,expansive_vs_terse,near_contrary,0.45,20
410m,tool_only,selfref_vs_impersonal,far_alt_frame,0.8,20
410m,tool_only,selfref_vs_impersonal,medium_contrary,0.7,20
410m,tool_only,selfref_vs_impersonal,near_contrary,0.45,20
70m,baseline_helpful,cautious_vs_assertive,far_alt_frame,0.55,20
70m,baseline_helpful,cautious_vs_assertive,medium_contrary,0.3,20
70m,baseline_helpful,cautious_vs_assertive,near_contrary,0.4,20
70m,baseline_helpful,collaborative_vs_authoritative,far_alt_frame,0.9,20
70m,baseline_helpful,collaborative_vs_authoritative,medium_contrary,0.55,20
70m,baseline_helpful,collaborative_vs_authoritative,near_contrary,0.6,20
70m,baseline_helpful,expansive_vs_terse,far_alt_frame,0.65,20
70m,baseline_helpful,expansive_vs_terse,medium_contrary,0.55,20
70m,baseline_helpful,expansive_vs_terse,near_contrary,0.65,20
70m,baseline_helpful,selfref_vs_impersonal,far_alt_frame,0.85,20
70m,baseline_helpful,selfref_vs_impersonal,medium_contrary,0.5,20
70m,baseline_helpful,selfref_vs_impersonal,near_contrary,0.5,20
70m,family_self,cautious_vs_assertive,far_alt_frame,0.55,20
70m,family_self,cautious_vs_assertive,medium_contrary,0.45,20
70m,family_self,cautious_vs_assertive,near_contrary,0.65,20
70m,family_self,collaborative_vs_authoritative,far_alt_frame,0.6,20
70m,family_self,collaborative_vs_authoritative,medium_contrary,0.35,20
70m,family_self,collaborative_vs_authoritative,near_contrary,0.3,20
70m,family_self,expansive_vs_terse,far_alt_frame,0.75,20
70m,family_self,expansive_vs_terse,medium_contrary,0.65,20
70m,family_self,expansive_vs_terse,near_contrary,0.6,20
70m,family_self,selfref_vs_impersonal,far_alt_frame,0.55,20
70m,family_self,selfref_vs_impersonal,medium_contrary,0.35,20
70m,family_self,selfref_vs_impersonal,near_contrary,0.5,20
70m,tool_only,cautious_vs_assertive,far_alt_frame,0.4,20
70m,tool_only,cautious_vs_assertive,medium_contrary,0.4,20
70m,tool_only,cautious_vs_assertive,near_contrary,0.65,20
70m,tool_only,collaborative_vs_authoritative,far_alt_frame,0.4,20
70m,tool_only,collaborative_vs_authoritative,medium_contrary,0.6,20
70m,tool_only,collaborative_vs_authoritative,near_contrary,0.5,20
70m,tool_only,expansive_vs_terse,far_alt_frame,0.35,20
70m,tool_only,expansive_vs_terse,medium_contrary,0.7,20
70m,tool_only,expansive_vs_terse,near_contrary,0.55,20
70m,tool_only,selfref_vs_impersonal,far_alt_frame,0.2,20
70m,tool_only,selfref_vs_impersonal,medium_contrary,0.7,20
70m,tool_only,selfref_vs_impersonal,near_contrary,0.55,20
