model_size_label,identity_frame,pair_accuracy_mean,tie_accuracy_mean,non_tie_accuracy_mean,cycle_free_ratio_mean,strict_structure_pass_rate,n_pairs
1b,baseline_helpful,0.3333333333333333,1.0,0.0,1.0,0.0,96
1b,family_self,0.3333333333333333,1.0,0.0,1.0,0.0,96
1b,tool_only,0.3333333333333333,1.0,0.0,1.0,0.0,96
2.8b,baseline_helpful,0.3333333333333333,0.8125,0.09375,1.0,0.0,96
2.8b,family_self,0.3541666666666667,0.9375,0.0625,1.0,0.0,96
2.8b,tool_only,0.3645833333333333,0.96875,0.0625,1.0,0.0,96
410m,baseline_helpful,0.2916666666666667,0.78125,0.046875,1.0,0.0,96
410m,family_self,0.3541666666666667,0.90625,0.078125,1.0,0.0,96
410m,tool_only,0.3958333333333333,0.90625,0.140625,1.0,0.0,96
70m,baseline_helpful,0.3125,0.46875,0.234375,0.984375,0.0,96
70m,family_self,0.4479166666666667,0.71875,0.3125,0.984375,0.0,96
70m,tool_only,0.3541666666666667,0.6875,0.1875,0.96875,0.0,96
