model_size,model_id,token_position,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
1b,EleutherAI/pythia-1b,-1,mean_diff,0.021293065965572254,0.27080588294419883,7.424394051785822,0.7291941170558012,0.0002944994513637516,432
1b,EleutherAI/pythia-1b,-1,random_orthogonal,0.02112285866988473,0.26782618690730126,6.5251233941978874,0.7321738130926987,0.00010930726027791267,432
1b,EleutherAI/pythia-1b,0,mean_diff,0.02961201093125118,0.09079007878637829,28.82598903444078,0.9092099212136218,8.089114110987339e-06,432
1b,EleutherAI/pythia-1b,0,random_orthogonal,0.024045422673225358,0.0,10.55360594060686,1.0,1.0090478891950423e-05,432
2.8b,EleutherAI/pythia-2.8b,-1,mean_diff,0.016428598293310188,0.004717116263988695,16.018343868079008,0.9952828837360114,0.0009590181785925395,432
2.8b,EleutherAI/pythia-2.8b,-1,random_orthogonal,0.015737091548982268,0.0016056542701479131,15.233039647340775,0.9983943457298521,0.0002775391120410832,432
2.8b,EleutherAI/pythia-2.8b,0,mean_diff,0.022407509283059124,0.0,14.535399251514011,1.0,0.0005165904904565685,432
2.8b,EleutherAI/pythia-2.8b,0,random_orthogonal,0.02289705785612261,0.0,14.472534992076733,1.0,0.00046961232414505184,432
410m,EleutherAI/pythia-410m,-1,mean_diff,0.04815522512352021,0.0001910512260561757,10.368275359824851,0.9998089487739438,0.001040350870425707,432
410m,EleutherAI/pythia-410m,-1,random_orthogonal,0.0461245864388291,0.0,9.67257210833055,1.0,0.0006721461070776457,432
410m,EleutherAI/pythia-410m,0,mean_diff,0.05278904880914418,0.0,17.203360354458844,1.0,0.00028521787780167726,432
410m,EleutherAI/pythia-410m,0,random_orthogonal,0.05268290535443354,0.0,14.762290698510629,1.0,0.0002726056938660373,432
70m,EleutherAI/pythia-70m,-1,mean_diff,0.026258605911775822,0.0,6.690890894443901,1.0,0.06470076265503406,432
70m,EleutherAI/pythia-70m,-1,random_orthogonal,0.025692021898942506,0.0,6.504419732424948,1.0,0.07461696771551264,432
70m,EleutherAI/pythia-70m,0,mean_diff,0.05427698904855379,0.0,14.754079105677429,1.0,0.04182464964725546,432
70m,EleutherAI/pythia-70m,0,random_orthogonal,0.02701556023762177,0.0,7.490815926481177,1.0,0.04400944675446086,432
