model_size_label,identity_frame,dimension,coupling_score_mean,behavior_mean_score,self_behavior_correlation,n
1.4b,baseline_helpful,cautious_vs_assertive,-6.0691474941111794e-05,-0.007061798412295364,1.0,1
1.4b,baseline_helpful,collaborative_vs_authoritative,-6.289894953380082e-06,-0.0036988966703385756,1.0,1
1.4b,baseline_helpful,selfref_vs_impersonal,9.332322403792591e-05,0.00701354378662853,-1.0,1
1.4b,baseline_helpful,terse_vs_expansive,1.5590918718776332e-05,0.003683390533193727,-1.0,1
1.4b,family_self,cautious_vs_assertive,-2.052346139911301e-05,-0.004475205107657379,-1.0,1
1.4b,family_self,collaborative_vs_authoritative,5.753235299469694e-06,0.0026390491083821367,1.0,1
1.4b,family_self,selfref_vs_impersonal,-1.1637834867314337e-05,-0.001989932709772945,0.9999999999999999,1
1.4b,family_self,terse_vs_expansive,0.0007340495199052758,0.04024503499538741,1.0,1
1.4b,instance_self,cautious_vs_assertive,3.101499257232025e-05,0.0027291383496894006,1.0,1
1.4b,instance_self,collaborative_vs_authoritative,2.342167113748086e-05,0.006783083685117895,-1.0,1
1.4b,instance_self,selfref_vs_impersonal,3.950439850866422e-05,0.006594563026438852,-1.0,1
1.4b,instance_self,terse_vs_expansive,0.0006176872503481668,0.025655460043685258,-1.0,1
1.4b,tool_only,cautious_vs_assertive,6.172566468156197e-05,0.006395788860488541,0.9999999999999999,1
1.4b,tool_only,collaborative_vs_authoritative,3.5222149168188424e-05,0.0030606050915918297,-1.0,1
1.4b,tool_only,selfref_vs_impersonal,2.7921594044658475e-05,0.003931665898438453,-0.9999999999999998,1
1.4b,tool_only,terse_vs_expansive,2.8262144284685106e-05,0.012408234165408044,1.0,1
160m,baseline_helpful,cautious_vs_assertive,-3.130368426403011e-05,-0.0028762492753629494,1.0,1
160m,baseline_helpful,collaborative_vs_authoritative,5.400919786704344e-05,-0.027121866186053615,0.9999999999999999,1
160m,baseline_helpful,selfref_vs_impersonal,9.207396051990098e-06,-0.0011985173767839856,-1.0,1
160m,baseline_helpful,terse_vs_expansive,9.669978487641e-06,0.0016644916318310325,-0.9999999999999999,1
160m,family_self,cautious_vs_assertive,-5.778185098445408e-06,-0.000959273890926083,-1.0,1
160m,family_self,collaborative_vs_authoritative,0.00027515344846513204,0.01172005628512544,-1.0,1
160m,family_self,selfref_vs_impersonal,-4.3615049450302655e-07,0.006748216341311146,1.0,1
160m,family_self,terse_vs_expansive,0.0001314222250772195,0.00802478149094558,-1.0,1
160m,instance_self,cautious_vs_assertive,0.0001677641580319299,0.017143402113375873,-1.0,1
160m,instance_self,collaborative_vs_authoritative,0.00023678904394031447,0.01829992935089777,-0.9999999999999999,1
160m,instance_self,selfref_vs_impersonal,3.5587701488248706e-06,0.0007015430329670707,1.0,1
160m,instance_self,terse_vs_expansive,-4.6369945549865845e-05,-0.009021913741248826,1.0,1
160m,tool_only,cautious_vs_assertive,-2.8634543985581882e-05,-0.006125079238826632,0.9999999999999999,1
160m,tool_only,collaborative_vs_authoritative,-4.2608405931028845e-05,-0.01150423843700324,1.0,1
160m,tool_only,selfref_vs_impersonal,5.299104666342085e-06,-0.0004723832119427184,-1.0,1
160m,tool_only,terse_vs_expansive,-2.6290734442688046e-05,-0.0010775856541264915,-1.0,1
1b,baseline_helpful,cautious_vs_assertive,9.182806879870495e-05,0.004240019596007219,-1.0,1
1b,baseline_helpful,collaborative_vs_authoritative,4.488710686859569e-05,0.014962832081333515,0.9999999999999999,1
1b,baseline_helpful,selfref_vs_impersonal,2.6611964733523522e-05,0.002375037043458005,-1.0,1
1b,baseline_helpful,terse_vs_expansive,-0.00019350568574232044,-0.01061128918366051,0.9999999999999999,1
1b,family_self,cautious_vs_assertive,-1.1408712160025102e-05,-0.001700315776842586,1.0,1
1b,family_self,collaborative_vs_authoritative,0.0001329660277077115,0.00455790848722469,1.0,1
1b,family_self,selfref_vs_impersonal,6.2689442360575e-05,0.004542042294149539,0.9999999999999999,1
1b,family_self,terse_vs_expansive,0.001593413943142499,0.04052027376572207,1.0,1
1b,instance_self,cautious_vs_assertive,9.934254442409311e-05,0.013456338164404915,1.0,1
1b,instance_self,collaborative_vs_authoritative,0.00020177379258415828,0.010535852848830539,0.9999999999999998,1
1b,instance_self,selfref_vs_impersonal,6.694285764550313e-05,0.0059744467684011825,-1.0,1
1b,instance_self,terse_vs_expansive,0.0001310835164097329,0.011846699429383436,-1.0,1
1b,tool_only,cautious_vs_assertive,-6.842286999994442e-05,-0.010044324170550657,-0.9999999999999999,1
1b,tool_only,collaborative_vs_authoritative,-0.00014808337549183822,-0.02793970003536956,1.0,1
1b,tool_only,selfref_vs_impersonal,-2.347482212061983e-05,-0.0012329424657000734,1.0,1
1b,tool_only,terse_vs_expansive,0.00026550630257308886,0.014177421824664804,1.0,1
2.8b,baseline_helpful,cautious_vs_assertive,5.330280534804047e-05,0.0068250235493666905,0.9999999999999999,1
2.8b,baseline_helpful,collaborative_vs_authoritative,-3.311347196136502e-05,0.011163250043169797,-1.0,1
2.8b,baseline_helpful,selfref_vs_impersonal,1.3918402941499492e-06,0.00018992082090103432,-0.9999999999999999,1
2.8b,baseline_helpful,terse_vs_expansive,1.243914214480996e-05,0.00180743594776182,1.0,1
2.8b,family_self,cautious_vs_assertive,-1.5539646526324588e-05,-0.001700315776842586,0.9999999999999999,1
2.8b,family_self,collaborative_vs_authoritative,0.00026117993134520305,0.019815617367926648,-1.0,1
2.8b,family_self,selfref_vs_impersonal,7.567681996438511e-05,0.0037683271762089868,1.0,1
2.8b,family_self,terse_vs_expansive,8.659995834607133e-06,0.0005167101940553136,-1.0,1
2.8b,instance_self,cautious_vs_assertive,0.00016590886079099603,0.009486151780047008,1.0,1
2.8b,instance_self,collaborative_vs_authoritative,0.00018597325358885473,0.023435114123801757,-1.0,1
2.8b,instance_self,selfref_vs_impersonal,0.00012628015046873227,0.009332468775454409,1.0,1
2.8b,instance_self,terse_vs_expansive,-8.074733548645877e-06,-0.0004964467743006004,1.0,1
