model_size_label,identity_frame,axis_name,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,n
1b,baseline_helpful,cautious_vs_assertive,0.5,0.0018620908989115,0.0048539524049601,0.2126382675522929,1.6963907661851083,6
1b,baseline_helpful,collaborative_vs_authoritative,0.1666666666666666,0.021835049260476,0.0209067969448083,1.314370555841417,1.273875147357358,6
1b,baseline_helpful,expansive_vs_terse,0.1666666666666666,0.0194056263083154,0.0103084072472367,0.9543325659552186,1.4389334408911936,6
1b,baseline_helpful,selfref_vs_impersonal,0.0,0.0071141143922332,0.0014132975429432,1.5258721663375638,1.309595542577182,6
1b,family_self,cautious_vs_assertive,0.8333333333333334,0.0091756994218367,0.0105524429299013,0.974936774328308,1.765684015518118,6
1b,family_self,collaborative_vs_authoritative,0.6666666666666666,0.0082610379368501,0.0290693329429172,1.5927232163520328,1.5589847690155842,6
1b,family_self,expansive_vs_terse,0.8333333333333334,0.0091043617961281,0.0313025540576941,1.0611398389744469,1.5167189855021483,6
1b,family_self,selfref_vs_impersonal,0.6666666666666666,0.0029578437088448,0.0039882190612116,0.7457103454210715,1.542957539899943,6
1b,instance_self,cautious_vs_assertive,0.6666666666666666,0.0078282142747774,0.0150653785192182,0.8779249498593734,1.6336149115602787,6
1b,instance_self,collaborative_vs_authoritative,0.3333333333333333,0.0054823285505347,0.0185608185646268,1.0608600139864808,1.580724163488511,6
1b,instance_self,expansive_vs_terse,0.3333333333333333,0.0161209408235431,0.0319352935360779,1.229111919756459,1.8187861019954628,6
1b,instance_self,selfref_vs_impersonal,0.3333333333333333,0.0085552301493959,0.0082681122717226,1.2183671849644355,1.6314781182338711,6
1b,tool_only,cautious_vs_assertive,0.3333333333333333,0.0011265320473233,0.0105524429299013,0.7292054184443367,1.765684015518118,6
1b,tool_only,collaborative_vs_authoritative,0.1666666666666666,0.0370512057157566,0.0290693329429172,1.522136950025831,1.5589847690155842,6
1b,tool_only,expansive_vs_terse,0.0,0.0205293900931644,0.0313025540576941,1.2517425852432726,1.5167189855021483,6
1b,tool_only,selfref_vs_impersonal,0.1666666666666666,0.0034443592829516,0.0039882190612116,1.2717548076328462,1.542957539899943,6
1b,weights_self,cautious_vs_assertive,0.1666666666666666,0.0033483848497022,0.0113890384587668,0.6046739521463328,1.9142992657647333,6
1b,weights_self,collaborative_vs_authoritative,0.6666666666666666,0.0,0.0334595492320769,0.0,2.0519298569072597,6
1b,weights_self,expansive_vs_terse,0.3333333333333333,0.027421829144664,0.0051399139832094,1.7795640069600271,1.9273251305363357,6
1b,weights_self,selfref_vs_impersonal,0.3333333333333333,0.004194471766603,0.0049385049179865,2.050374313747279,2.050115173799587,6
2.8b,baseline_helpful,cautious_vs_assertive,0.1666666666666666,0.00436259616022,0.0072300650438464,0.6728347138973284,1.7407568102124789,6
2.8b,baseline_helpful,collaborative_vs_authoritative,0.0,0.0186488542720224,0.0142816578169999,1.4162158634942006,1.091450253791034,6
2.8b,baseline_helpful,expansive_vs_terse,0.1666666666666666,0.0173587837269622,0.0139076400606985,0.6013259997049744,1.0017173039753378,6
2.8b,baseline_helpful,selfref_vs_impersonal,0.3333333333333333,0.0137570875835436,0.0082070002596926,1.2328832165396169,1.091258427322508,6
2.8b,family_self,cautious_vs_assertive,0.0,0.0015154779752083,0.0066601612321254,0.3832490203215152,1.5658458160004418,6
2.8b,family_self,collaborative_vs_authoritative,0.1666666666666666,0.0088824468967076,0.0142353311835451,1.1242169351642006,1.2900814724025655,6
2.8b,family_self,expansive_vs_terse,0.0,0.0321445465238854,0.0285864840802921,1.307503720477275,1.41401438675949,6
2.8b,family_self,selfref_vs_impersonal,0.0,0.0056061269284741,0.0114663923758878,0.8964463476343617,1.4121921562154975,6
2.8b,instance_self,cautious_vs_assertive,0.0,0.0081064915258563,0.0068157165137885,1.1283422678419337,1.6092082226419844,6
2.8b,instance_self,collaborative_vs_authoritative,0.6666666666666666,0.0112959783252027,0.0160255587391462,1.4606203048412931,1.6884623900673923,6
2.8b,instance_self,expansive_vs_terse,0.0,0.0099063145287415,0.0240090925208031,0.6705103146192992,1.4500231714663785,6
2.8b,instance_self,selfref_vs_impersonal,0.6666666666666666,0.0036971820577834,0.0102103630029599,1.000773483121718,1.5615087951221192,6
2.8b,tool_only,cautious_vs_assertive,0.6666666666666666,0.0052706497799212,0.0066601612321254,0.7163144687789164,1.5658458160004418,6
2.8b,tool_only,collaborative_vs_authoritative,0.6666666666666666,0.0161788126099715,0.0142353311835451,1.0001736575625797,1.2900814724025655,6
2.8b,tool_only,expansive_vs_terse,0.3333333333333333,0.0083685294522384,0.0285864840802921,0.3641260721754034,1.41401438675949,6
2.8b,tool_only,selfref_vs_impersonal,0.1666666666666666,0.0082108185069979,0.0114663923758878,1.0957562503053109,1.4121921562154975,6
2.8b,weights_self,cautious_vs_assertive,0.3333333333333333,0.0008159807037871,0.0073181612721444,0.6168134325410105,1.6630291714469474,6
