model_size_label,identity_frame,axis_name,self_sign_accuracy_mean,other_sign_accuracy_mean,predicted_boundary_margin_mean,actual_boundary_margin_no_steer_mean,actual_boundary_margin_steer_mean,boundary_margin_delta_mean,boundary_order_match_no_steer_mean,boundary_order_match_steer_mean,boundary_retention_no_steer_mean,boundary_retention_steer_mean,boundary_collapse_rate,boundary_prediction_valid_rate,self_moved_toward_other_actual_mean,self_moved_toward_other_prediction_mean,self_vs_other_style_distance_mean,steered_self_vs_other_style_distance_mean,self_vs_other_semantic_overlap_mean,steered_self_vs_other_semantic_overlap_mean,n
1b,baseline_helpful,cautious_vs_assertive,0.5,0.5,0.00407177209854126,0.006000062698125518,0.0008466895558490587,-0.00515337314227646,,,,,,0.0,0.5,0.0,1.4887791201491767,1.5292586914286055,0.5517859687831065,0.5119671845829339,2
1b,baseline_helpful,expansive_vs_terse,1.0,1.0,0.0015094578266143799,0.00686787377032052,0.04238561208862963,0.03551773831830911,,,,,,0.0,0.0,0.5,1.473889933401825,1.3091061296843294,0.2196339393411832,0.29782656386935374,2
1b,instance_self,cautious_vs_assertive,1.0,0.5,0.003194272518157959,0.009448558841815731,0.012486141214338674,0.0030375823725229435,,,,,,0.0,0.5,0.5,1.6770296042821975,1.427513677360341,0.36758764652848025,0.5150627593416196,2
1b,instance_self,expansive_vs_terse,1.0,1.0,0.0030105113983154297,0.03883099985819075,0.033557770407990406,-0.005273229450200347,,,,,,0.0,0.5,0.5,1.5813824364812747,1.386221998870925,0.4369310932507948,0.10741627776780355,2
1b,tool_only,cautious_vs_assertive,0.0,0.5,0.00423845648765564,0.006263163804744637,0.006263163804744637,0.0,,,,,,0.0,0.0,0.0,1.702652231269963,1.702652231269963,0.2540696876532586,0.2540696876532586,2
1b,tool_only,expansive_vs_terse,1.0,1.0,0.002030402421951294,0.0057920315071732205,0.036855146901502975,0.03106311539432975,,,,,,0.0,0.0,1.0,1.5068990114758107,1.3204835272151363,0.4084767538219355,0.1450385372629392,2
70m,baseline_helpful,cautious_vs_assertive,1.0,0.5,0.0,0.007520839591495467,0.006715517953451509,-0.0008053216380439574,,,,,,0.0,0.5,0.0,1.1003867106567913,0.7011676070599024,0.5431502200806166,0.5164637630629512,2
70m,baseline_helpful,expansive_vs_terse,1.0,1.0,0.11552928388118744,0.0003849120631614954,0.01006071103979151,0.009675798976630014,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.11409416286985997,1.5481006069518684,0.8789465377449694,0.28549570377542544,2
70m,instance_self,cautious_vs_assertive,0.0,0.5,0.0,0.008291560287817914,0.007266871700321823,-0.0010246885874960893,,,,,,0.0,0.5,0.5,0.9363539887836492,0.7285237858379889,0.572023061995152,0.4699050121212369,2
70m,instance_self,expansive_vs_terse,1.0,1.0,0.0,0.027045361729717186,0.014705858267004594,-0.012339503462712596,,,,,,0.0,1.0,0.0,0.38484073447782086,1.6352887782761456,0.4958229521093423,0.310207298276943,2
70m,tool_only,cautious_vs_assertive,0.5,0.5,0.11552928388118744,0.00465003473266393,0.008401363001267755,0.003751328268603825,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.6518992620021429,1.7918830509960904,0.5041887153183782,0.4138476445403705,2
70m,tool_only,expansive_vs_terse,1.0,1.0,0.11552928388118744,0.007726479863340593,0.02563411490521682,0.01790763504187623,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.013803680981595082,1.7114466836574942,0.8636363636363638,0.1507215608115159,2
