model_size_label,identity_frame,axis_name,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,n
1b,baseline_helpful,cautious_vs_assertive,0.5,0.001862090898911549,0.004853952404960165,0.2126382675522929,1.6963907661851083,6
1b,baseline_helpful,collaborative_vs_authoritative,0.16666666666666666,0.021835049260476025,0.020906796944808393,1.314370555841417,1.273875147357358,6
1b,baseline_helpful,expansive_vs_terse,0.16666666666666666,0.019405626308315424,0.010308407247236745,0.9543325659552186,1.4389334408911936,6
1b,baseline_helpful,selfref_vs_impersonal,0.0,0.007114114392233257,0.0014132975429432554,1.5258721663375638,1.309595542577182,6
1b,family_self,cautious_vs_assertive,0.8333333333333334,0.009175699421836755,0.010552442929901375,0.974936774328308,1.765684015518118,6
1b,family_self,collaborative_vs_authoritative,0.6666666666666666,0.008261037936850138,0.029069332942917244,1.5927232163520328,1.5589847690155842,6
1b,family_self,expansive_vs_terse,0.8333333333333334,0.00910436179612818,0.031302554057694144,1.0611398389744469,1.5167189855021483,6
1b,family_self,selfref_vs_impersonal,0.6666666666666666,0.0029578437088448235,0.003988219061211641,0.7457103454210715,1.542957539899943,6
1b,instance_self,cautious_vs_assertive,0.6666666666666666,0.007828214274777407,0.015065378519218282,0.8779249498593734,1.6336149115602787,6
1b,instance_self,collaborative_vs_authoritative,0.3333333333333333,0.005482328550534752,0.018560818564626897,1.0608600139864808,1.580724163488511,6
1b,instance_self,expansive_vs_terse,0.3333333333333333,0.01612094082354316,0.031935293536077936,1.229111919756459,1.8187861019954628,6
1b,instance_self,selfref_vs_impersonal,0.3333333333333333,0.008555230149395908,0.008268112271722647,1.2183671849644357,1.6314781182338713,6
1b,tool_only,cautious_vs_assertive,0.3333333333333333,0.0011265320473233965,0.010552442929901375,0.7292054184443367,1.765684015518118,6
1b,tool_only,collaborative_vs_authoritative,0.16666666666666666,0.03705120571575663,0.029069332942917244,1.522136950025831,1.5589847690155842,6
1b,tool_only,expansive_vs_terse,0.0,0.020529390093164426,0.031302554057694144,1.2517425852432726,1.5167189855021483,6
1b,tool_only,selfref_vs_impersonal,0.16666666666666666,0.0034443592829516805,0.003988219061211641,1.2717548076328462,1.542957539899943,6
1b,weights_self,cautious_vs_assertive,0.16666666666666666,0.003348384849702239,0.011389038458766843,0.6046739521463328,1.9142992657647333,6
1b,weights_self,collaborative_vs_authoritative,0.6666666666666666,0.0,0.03345954923207695,0.0,2.0519298569072593,6
1b,weights_self,expansive_vs_terse,0.3333333333333333,0.027421829144664015,0.005139913983209427,1.7795640069600271,1.9273251305363355,6
1b,weights_self,selfref_vs_impersonal,0.3333333333333333,0.004194471766603082,0.004938504917986592,2.050374313747279,2.050115173799587,6
2.8b,baseline_helpful,cautious_vs_assertive,0.16666666666666666,0.004362596160220091,0.007230065043846409,0.6728347138973284,1.7407568102124789,6
2.8b,baseline_helpful,collaborative_vs_authoritative,0.0,0.018648854272022453,0.014281657816999907,1.4162158634942006,1.091450253791034,6
2.8b,baseline_helpful,expansive_vs_terse,0.16666666666666666,0.017358783726962264,0.013907640060698558,0.6013259997049744,1.0017173039753378,6
2.8b,baseline_helpful,selfref_vs_impersonal,0.3333333333333333,0.013757087583543643,0.008207000259692688,1.2328832165396169,1.091258427322508,6
2.8b,family_self,cautious_vs_assertive,0.0,0.0015154779752083747,0.006660161232125403,0.38324902032151525,1.5658458160004418,6
2.8b,family_self,collaborative_vs_authoritative,0.16666666666666666,0.008882446896707625,0.014235331183545122,1.1242169351642006,1.2900814724025655,6
2.8b,family_self,expansive_vs_terse,0.0,0.03214454652388546,0.028586484080292174,1.307503720477275,1.4140143867594899,6
2.8b,family_self,selfref_vs_impersonal,0.0,0.005606126928474102,0.011466392375887827,0.8964463476343617,1.4121921562154975,6
2.8b,instance_self,cautious_vs_assertive,0.0,0.008106491525856362,0.006815716513788562,1.1283422678419337,1.6092082226419844,6
2.8b,instance_self,collaborative_vs_authoritative,0.6666666666666666,0.011295978325202785,0.016025558739146212,1.4606203048412933,1.6884623900673923,6
2.8b,instance_self,expansive_vs_terse,0.0,0.00990631452874154,0.02400909252080319,0.6705103146192992,1.4500231714663785,6
2.8b,instance_self,selfref_vs_impersonal,0.6666666666666666,0.0036971820577834692,0.010210363002959997,1.000773483121718,1.5615087951221192,6
2.8b,tool_only,cautious_vs_assertive,0.6666666666666666,0.005270649779921202,0.006660161232125403,0.7163144687789164,1.5658458160004418,6
2.8b,tool_only,collaborative_vs_authoritative,0.6666666666666666,0.016178812609971574,0.014235331183545122,1.0001736575625797,1.2900814724025655,6
2.8b,tool_only,expansive_vs_terse,0.3333333333333333,0.00836852945223843,0.028586484080292174,0.36412607217540344,1.4140143867594899,6
2.8b,tool_only,selfref_vs_impersonal,0.16666666666666666,0.008210818506997987,0.011466392375887827,1.0957562503053107,1.4121921562154975,6
2.8b,weights_self,cautious_vs_assertive,0.3333333333333333,0.0008159807037871943,0.007318161272144433,0.6168134325410105,1.6630291714469474,6
2.8b,weights_self,collaborative_vs_authoritative,0.0,0.01631360865938934,0.011630307576571172,0.9710565752985915,0.9894289638230968,6
2.8b,weights_self,expansive_vs_terse,0.5,0.01655744087546723,0.015897493342129723,1.7196237977207744,1.09978356066366,6
2.8b,weights_self,selfref_vs_impersonal,0.16666666666666666,0.003689398085787701,0.008354358310924334,1.151804836075757,1.1458940187419926,6
410m,baseline_helpful,cautious_vs_assertive,0.3333333333333333,0.007471536760897349,0.00927935739236505,1.444125722521644,0.9458082498362717,6
410m,baseline_helpful,collaborative_vs_authoritative,0.5,0.011264285128601568,0.01712218360218251,0.7339003973241375,1.267939994022149,6
410m,baseline_helpful,expansive_vs_terse,0.0,0.021214018094555056,0.014933745259796979,0.9409137245183934,1.1965888899878703,6
410m,baseline_helpful,selfref_vs_impersonal,0.3333333333333333,0.006214429777621269,0.005073630769215136,0.9657196147713035,1.0451395046023106,6
410m,family_self,cautious_vs_assertive,0.5,0.006045574688069395,0.006966772840009149,1.336198118156912,0.7696131601722486,6
410m,family_self,collaborative_vs_authoritative,0.16666666666666666,0.008052842466181676,0.017506879612080386,1.0113713491473801,1.2844361949981333,6
410m,family_self,expansive_vs_terse,0.3333333333333333,0.016063346463166227,0.015459330021504255,1.1984496586703755,1.1152828656620846,6
410m,family_self,selfref_vs_impersonal,0.3333333333333333,0.003197712268229702,0.0036814366416054872,0.5925528169616882,1.3031448824905745,6
410m,instance_self,cautious_vs_assertive,0.16666666666666666,0.010883840916131737,0.00815622634591732,1.0337465817860052,1.3001418832444387,6
410m,instance_self,collaborative_vs_authoritative,0.5,0.021449339017762626,0.018271001488429705,1.3066797881396572,1.500322760301202,6
410m,instance_self,expansive_vs_terse,0.3333333333333333,0.019789531241971237,0.024044973599088106,1.1807279339888161,1.2688807943667713,6
410m,instance_self,selfref_vs_impersonal,0.3333333333333333,0.007343402360056921,0.004903788114105734,1.1820953944142807,1.3588750001966972,6
410m,tool_only,cautious_vs_assertive,0.6666666666666666,0.008217222949923629,0.006966772840009149,1.0230068826400263,0.7696131601722486,6
410m,tool_only,collaborative_vs_authoritative,0.3333333333333333,0.01920927850392193,0.017506879612080386,1.2607743650876284,1.2844361949981333,6
410m,tool_only,expansive_vs_terse,0.3333333333333333,0.012386420158292772,0.015459330021504255,0.7134457794889904,1.1152828656620846,6
