model_size_label,identity_frame,self_recognition_accuracy_mean,n
1b,baseline_helpful,0.20833333333333334,24
1b,family_self,0.75,24
1b,instance_self,0.4166666666666667,24
1b,tool_only,0.16666666666666666,24
1b,weights_self,0.375,24
2.8b,baseline_helpful,0.16666666666666666,24
2.8b,family_self,0.041666666666666664,24
2.8b,instance_self,0.3333333333333333,24
2.8b,tool_only,0.4583333333333333,24
2.8b,weights_self,0.25,24
410m,baseline_helpful,0.2916666666666667,24
410m,family_self,0.3333333333333333,24
410m,instance_self,0.3333333333333333,24
410m,tool_only,0.4166666666666667,24
410m,weights_self,0.16666666666666666,24
70m,baseline_helpful,0.16666666666666666,24
70m,family_self,0.375,24
70m,instance_self,0.25,24
70m,tool_only,0.2916666666666667,24
70m,weights_self,0.25,24
