model_size_label,identity_frame,self_baseline_label,accuracy_mean,n
1b,baseline_helpful,1,0.7435897435897436,39
1b,baseline_helpful,2,0.10526315789473684,38
1b,baseline_helpful,3,0.11627906976744186,43
1b,family_self,1,0.8048780487804879,41
1b,family_self,2,0.36,50
1b,family_self,3,0.4482758620689655,29
1b,instance_self,1,0.7857142857142857,42
1b,instance_self,2,0.17073170731707318,41
1b,instance_self,3,0.2972972972972973,37
1b,tool_only,1,0.5116279069767442,43
1b,tool_only,2,0.0,36
1b,tool_only,3,0.2682926829268293,41
2.8b,baseline_helpful,1,0.5,42
2.8b,baseline_helpful,2,0.09523809523809523,42
2.8b,baseline_helpful,3,0.1388888888888889,36
2.8b,family_self,1,0.21052631578947367,38
2.8b,family_self,2,0.07317073170731707,41
2.8b,family_self,3,0.21951219512195122,41
2.8b,instance_self,1,0.375,40
2.8b,instance_self,2,0.0975609756097561,41
2.8b,instance_self,3,0.358974358974359,39
2.8b,tool_only,1,0.3181818181818182,44
2.8b,tool_only,2,0.2631578947368421,38
2.8b,tool_only,3,0.5,38
410m,baseline_helpful,1,0.675,40
410m,baseline_helpful,2,0.24390243902439024,41
410m,baseline_helpful,3,0.07692307692307693,39
410m,family_self,1,0.40540540540540543,37
410m,family_self,2,0.3076923076923077,39
410m,family_self,3,0.13636363636363635,44
410m,instance_self,1,0.43478260869565216,46
410m,instance_self,2,0.4146341463414634,41
410m,instance_self,3,0.12121212121212122,33
410m,tool_only,1,0.7027027027027027,37
410m,tool_only,2,0.2549019607843137,51
410m,tool_only,3,0.1875,32
70m,baseline_helpful,1,0.8148148148148148,27
70m,baseline_helpful,2,0.09803921568627451,51
70m,baseline_helpful,3,0.0,42
70m,family_self,1,0.8421052631578947,38
70m,family_self,2,0.0,42
70m,family_self,3,0.025,40
70m,instance_self,1,0.6818181818181818,44
70m,instance_self,2,0.05128205128205128,39
70m,instance_self,3,0.05405405405405406,37
70m,tool_only,1,0.7727272727272727,44
70m,tool_only,2,0.18421052631578946,38
70m,tool_only,3,0.18421052631578946,38
