model_size_label,identity_frame,selected_label,n
1b,baseline_helpful,1,97
1b,baseline_helpful,2,14
1b,baseline_helpful,3,9
1b,family_self,1,77
1b,family_self,2,24
1b,family_self,3,19
1b,instance_self,1,80
1b,instance_self,2,14
1b,instance_self,3,26
1b,tool_only,1,74
1b,tool_only,2,7
1b,tool_only,3,39
2.8b,baseline_helpful,1,73
2.8b,baseline_helpful,2,34
2.8b,baseline_helpful,3,13
2.8b,family_self,1,49
2.8b,family_self,2,30
2.8b,family_self,3,41
2.8b,instance_self,1,48
2.8b,instance_self,2,31
2.8b,instance_self,3,41
2.8b,tool_only,1,51
2.8b,tool_only,2,23
2.8b,tool_only,3,46
410m,baseline_helpful,1,80
410m,baseline_helpful,2,34
410m,baseline_helpful,3,6
410m,family_self,1,63
410m,family_self,2,38
410m,family_self,3,19
410m,instance_self,1,61
410m,instance_self,2,39
410m,instance_self,3,20
410m,tool_only,1,62
410m,tool_only,2,31
410m,tool_only,3,27
70m,baseline_helpful,1,105
70m,baseline_helpful,2,11
70m,baseline_helpful,3,4
70m,family_self,1,101
70m,family_self,2,11
70m,family_self,3,8
70m,instance_self,1,98
70m,instance_self,2,12
70m,instance_self,3,10
70m,tool_only,1,90
70m,tool_only,2,12
70m,tool_only,3,18
