model_size_label,identity_frame,axis_name,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,hits,trials,seed_count,p_value_vs_chance,row_p_value_vs_chance,cluster_accuracy_mean,cluster_accuracy_ci95_low,cluster_accuracy_ci95_high,cluster_count,cluster_hits_above_chance,cluster_non_tie_count,cluster_tie_count,cluster_sign_p_value_vs_chance,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,p_value_vs_chance_holm,cluster_sign_p_value_vs_chance_holm
1b,family_self,expansive_vs_terse,0.6666666666666666,0.5,0.8333333333333334,20,30,5,0.00019375930137030482,0.00019375930137030482,0.6666666666666666,0.36666666666666664,0.9333333333333332,6,5,6,0,0.10937500000000004,0.009104361796128118,0.0313025540576941,0.012400595287699509,1.0
1b,family_self,collaborative_vs_authoritative,0.6333333333333333,0.43333333333333335,0.8,19,30,5,0.0007371372956618244,0.0007371372956618244,0.6333333333333334,0.3666666666666667,0.8333333333333334,6,5,6,0,0.10937500000000004,0.008261037936850102,0.0290693329429172,0.04643964962669493,1.0
1b,family_self,selfref_vs_impersonal,0.5666666666666667,0.4,0.7666666666666667,17,30,5,0.007222841304449077,0.007222841304449077,0.5666666666666667,0.3,0.7999999999999999,6,5,6,0,0.10937500000000004,0.0029578437088447996,0.003988219061211606,0.44781616087584275,1.0
410m,baseline_helpful,cautious_vs_assertive,0.5333333333333333,0.36666666666666664,0.7,16,30,5,0.01879500122683331,0.01879500122683331,0.5333333333333333,0.3,0.7674999999999955,6,5,6,0,0.10937500000000004,0.0074715367608973,0.009279357392365,1.0,1.0
410m,tool_only,cautious_vs_assertive,0.5333333333333333,0.36666666666666664,0.7,16,30,5,0.01879500122683331,0.01879500122683331,0.5333333333333333,0.26666666666666666,0.7341666666666622,6,5,6,0,0.10937500000000004,0.008217222949923568,0.0069667728400091165,1.0,1.0
70m,tool_only,expansive_vs_terse,0.5333333333333333,0.36666666666666664,0.7,16,30,5,0.01879500122683331,0.01879500122683331,0.5333333333333333,0.4333333333333333,0.6666666666666666,6,6,6,0,0.015625000000000007,0.017668497726061053,0.0086534185033554,1.0,1.0
1b,instance_self,expansive_vs_terse,0.5,0.3333333333333333,0.6666666666666666,15,30,5,0.043482275727919815,0.043482275727919815,0.5,0.26666666666666666,0.7000000000000001,6,5,6,0,0.10937500000000004,0.016120940823543116,0.03193529353607788,1.0,1.0
70m,tool_only,cautious_vs_assertive,0.5,0.3325,0.6666666666666666,15,30,5,0.043482275727919815,0.043482275727919815,0.5,0.3,0.7000000000000001,6,4,6,0,0.34375000000000056,0.0015448357296228834,0.003761912158489,1.0,1.0
1b,instance_self,collaborative_vs_authoritative,0.4666666666666667,0.3,0.6333333333333333,14,30,5,0.08977091541745666,0.08977091541745666,0.4666666666666666,0.3,0.7000000000000001,6,5,6,0,0.10937500000000004,0.005482328550534716,0.01856081856462683,1.0,1.0
410m,instance_self,selfref_vs_impersonal,0.4666666666666667,0.3,0.6333333333333333,14,30,5,0.08977091541745666,0.08977091541745666,0.4666666666666666,0.2333333333333333,0.7000000000000001,6,4,6,0,0.34375000000000056,0.007343402360056883,0.004903788114105701,1.0,1.0
1b,instance_self,cautious_vs_assertive,0.43333333333333335,0.26666666666666666,0.6,13,30,5,0.16601102784728258,0.16601102784728258,0.43333333333333335,0.20000000000000004,0.6333333333333334,6,4,6,0,0.34375000000000056,0.007828214274777366,0.015065378519218235,1.0,1.0
2.8b,baseline_helpful,cautious_vs_assertive,0.43333333333333335,0.26666666666666666,0.6333333333333333,13,30,5,0.16601102784728258,0.16601102784728258,0.43333333333333335,0.2333333333333333,0.6333333333333333,6,5,6,0,0.10937500000000004,0.004362596160220066,0.0072300650438463674,1.0,1.0
2.8b,tool_only,cautious_vs_assertive,0.43333333333333335,0.26666666666666666,0.6,13,30,5,0.16601102784728258,0.16601102784728258,0.4333333333333333,0.19999999999999998,0.7000000000000001,6,4,6,0,0.34375000000000056,0.005270649779921183,0.006660161232125349,1.0,1.0
1b,tool_only,cautious_vs_assertive,0.4,0.23333333333333334,0.5666666666666667,12,30,5,0.2761356346903642,0.2761356346903642,0.4000000000000001,0.2333333333333333,0.6,6,3,6,0,0.6562500000000008,0.0011265320473233835,0.010552442929901318,1.0,1.0
410m,tool_only,expansive_vs_terse,0.4,0.23333333333333334,0.5666666666666667,12,30,5,0.2761356346903642,0.2761356346903642,0.39999999999999997,0.20000000000000004,0.6,6,4,6,0,0.34375000000000056,0.012386420158292718,0.01545933002150418,1.0,1.0
1b,baseline_helpful,cautious_vs_assertive,0.36666666666666664,0.2,0.5333333333333333,11,30,5,0.4152404012289934,0.4152404012289934,0.36666666666666664,0.2333333333333333,0.5333333333333333,6,3,6,0,0.6562500000000008,0.0018620908989115334,0.004853952404960117,1.0,1.0
2.8b,instance_self,selfref_vs_impersonal,0.36666666666666664,0.2,0.5333333333333333,11,30,5,0.4152404012289934,0.4152404012289934,0.36666666666666664,0.13333333333333333,0.6333333333333333,6,3,6,0,0.6562500000000008,0.003697182057783433,0.010210363002959967,1.0,1.0
2.8b,tool_only,expansive_vs_terse,0.36666666666666664,0.2,0.5333333333333333,11,30,5,0.4152404012289934,0.4152404012289934,0.3666666666666667,0.19999999999999998,0.5333333333333333,6,4,6,0,0.34375000000000056,0.008368529452238383,0.028586484080292143,1.0,1.0
410m,family_self,cautious_vs_assertive,0.36666666666666664,0.2,0.5333333333333333,11,30,5,0.4152404012289934,0.4152404012289934,0.3666666666666667,0.16666666666666666,0.5666666666666668,6,4,6,0,0.34375000000000056,0.00604557468806935,0.0069667728400091165,1.0,1.0
70m,instance_self,collaborative_vs_authoritative,0.36666666666666664,0.2,0.5333333333333333,11,30,5,0.4152404012289934,0.4152404012289934,0.3666666666666667,0.10000000000000002,0.6333333333333333,6,3,6,0,0.6562500000000008,0.013974018323392717,0.013456930848887787,1.0,1.0
1b,baseline_helpful,collaborative_vs_authoritative,0.3333333333333333,0.16666666666666666,0.5,10,30,5,0.568255644421486,0.568255644421486,0.3333333333333333,0.16666666666666666,0.5000000000000001,6,3,6,0,0.6562500000000008,0.02183504926047598,0.020906796944808348,1.0,1.0
2.8b,tool_only,selfref_vs_impersonal,0.3333333333333333,0.16666666666666666,0.5,10,30,5,0.568255644421486,0.568255644421486,0.3333333333333333,0.13333333333333333,0.5333333333333333,6,4,6,0,0.34375000000000056,0.008210818506997918,0.011466392375887785,1.0,1.0
410m,instance_self,expansive_vs_terse,0.3333333333333333,0.16666666666666666,0.5,10,30,5,0.568255644421486,0.568255644421486,0.3333333333333333,0.16666666666666666,0.46666666666666673,6,4,6,0,0.34375000000000056,0.0197895312419712,0.02404497359908805,1.0,1.0
410m,tool_only,collaborative_vs_authoritative,0.3333333333333333,0.16666666666666666,0.5,10,30,5,0.568255644421486,0.568255644421486,0.3333333333333333,0.06666666666666667,0.6666666666666666,6,3,6,0,0.6562500000000008,0.0192092785039219,0.017506879612080348,1.0,1.0
70m,family_self,expansive_vs_terse,0.3333333333333333,0.16666666666666666,0.5,10,30,5,0.568255644421486,0.568255644421486,0.3333333333333333,0.06666666666666667,0.6333333333333334,6,2,6,0,0.8906250000000014,0.02809095811949008,0.0086534185033554,1.0,1.0
70m,instance_self,cautious_vs_assertive,0.3333333333333333,0.16666666666666666,0.5,10,30,5,0.568255644421486,0.568255644421486,0.3333333333333333,0.16666666666666666,0.5333333333333333,6,3,6,0,0.6562500000000008,0.007044310992521268,0.004039964415534967,1.0,1.0
70m,instance_self,expansive_vs_terse,0.3333333333333333,0.16666666666666666,0.5,10,30,5,0.568255644421486,0.568255644421486,0.3333333333333333,0.13333333333333333,0.5333333333333333,6,3,6,0,0.6562500000000008,0.013781329087356098,0.010490127677653385,1.0,1.0
70m,tool_only,selfref_vs_impersonal,0.3333333333333333,0.16666666666666666,0.5,10,30,5,0.568255644421486,0.568255644421486,0.3333333333333333,0.16666666666666666,0.5333333333333333,6,3,6,0,0.6562500000000008,0.0015261565450788363,0.004348596554054974,1.0,1.0
1b,baseline_helpful,selfref_vs_impersonal,0.3,0.16666666666666666,0.4666666666666667,9,30,5,0.7139844474619549,0.7139844474619549,0.3,0.2333333333333333,0.3666666666666667,6,3,6,0,0.6562500000000008,0.007114114392233184,0.0014132975429432002,1.0,1.0
1b,instance_self,selfref_vs_impersonal,0.3,0.13333333333333333,0.4666666666666667,9,30,5,0.7139844474619549,0.7139844474619549,0.3,0.13333333333333333,0.46666666666666673,6,4,6,0,0.34375000000000056,0.008555230149395866,0.008268112271722599,1.0,1.0
1b,tool_only,collaborative_vs_authoritative,0.3,0.13333333333333333,0.4666666666666667,9,30,5,0.7139844474619549,0.7139844474619549,0.30000000000000004,0.16666666666666666,0.39999999999999997,6,4,6,0,0.34375000000000056,0.03705120571575658,0.0290693329429172,1.0,1.0
2.8b,instance_self,cautious_vs_assertive,0.3,0.13333333333333333,0.4666666666666667,9,30,5,0.7139844474619549,0.7139844474619549,0.30000000000000004,0.09999999999999999,0.5,6,3,6,0,0.6562500000000008,0.008106491525856333,0.006815716513788533,1.0,1.0
2.8b,tool_only,collaborative_vs_authoritative,0.3,0.13333333333333333,0.4666666666666667,9,30,5,0.7139844474619549,0.7139844474619549,0.3,0.19999999999999998,0.43333333333333335,6,2,6,0,0.8906250000000014,0.016178812609971532,0.014235331183545084,1.0,1.0
410m,baseline_helpful,collaborative_vs_authoritative,0.3,0.13333333333333333,0.4666666666666667,9,30,5,0.7139844474619549,0.7139844474619549,0.3,0.19999999999999998,0.43333333333333335,6,2,6,0,0.8906250000000014,0.011264285128601535,0.017122183602182466,1.0,1.0
