model_size_label,identity_frame,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,hits,trials,seed_count,p_value_vs_chance,row_p_value_vs_chance,cluster_accuracy_mean,cluster_accuracy_ci95_low,cluster_accuracy_ci95_high,cluster_count,cluster_hits_above_chance,cluster_non_tie_count,cluster_tie_count,cluster_sign_p_value_vs_chance,p_value_vs_chance_holm,cluster_sign_p_value_vs_chance_holm
1b,family_self,0.5333333333333333,0.45,0.6166666666666667,64,120,5,5.135804685318009e-06,5.135804685318009e-06,0.5333333333333333,0.39166666666666666,0.6666666666666666,24,17,24,0,0.031957328319549505,8.217287496508815e-05,0.4793599247932426
1b,instance_self,0.425,0.3333333333333333,0.5166666666666667,51,120,5,0.022453537376894588,0.022453537376894588,0.42500000000000004,0.31666666666666665,0.5333333333333333,24,18,24,0,0.011327922344207748,0.3368030606534188,0.18124675750732397
70m,tool_only,0.4,0.31645833333333334,0.49166666666666664,48,120,5,0.07463307780538042,0.07463307780538042,0.39999999999999997,0.2916666666666667,0.5,24,15,24,0,0.15372812747955353,1.0,1.0
410m,tool_only,0.375,0.2916666666666667,0.4666666666666667,45,120,5,0.1910649141702095,0.1910649141702095,0.375,0.25833333333333336,0.4916666666666667,24,14,24,0,0.270628094673157,1.0,1.0
2.8b,tool_only,0.35833333333333334,0.26666666666666666,0.45,43,120,5,0.3113166922404415,0.3113166922404415,0.3583333333333334,0.25833333333333336,0.4666666666666666,24,14,24,0,0.270628094673157,1.0,1.0
410m,instance_self,0.3416666666666667,0.25833333333333336,0.425,41,120,5,0.45721645854908705,0.45721645854908705,0.34166666666666673,0.25,0.4416666666666667,24,14,24,0,0.270628094673157,1.0,1.0
410m,baseline_helpful,0.3333333333333333,0.24166666666666667,0.4166666666666667,40,120,5,0.5342837584213276,0.5342837584213276,0.3333333333333333,0.233125,0.4416666666666667,24,11,24,0,0.7293719053268445,1.0,1.0
1b,baseline_helpful,0.31666666666666665,0.24166666666666667,0.4,38,120,5,0.6828024934958055,0.6828024934958055,0.3166666666666667,0.25,0.3916666666666666,24,12,24,0,0.5805901288986216,1.0,1.0
70m,instance_self,0.2833333333333333,0.20833333333333334,0.36666666666666664,34,120,5,0.8972427440184528,0.8972427440184528,0.2833333333333333,0.18333333333333335,0.39166666666666666,24,10,24,0,0.8462718725204479,1.0,1.0
1b,tool_only,0.275,0.2,0.35833333333333334,33,120,5,0.928716358066913,0.928716358066913,0.2750000000000001,0.20000000000000004,0.3500000000000001,24,10,24,0,0.8462718725204479,1.0,1.0
2.8b,instance_self,0.275,0.1997916666666667,0.35833333333333334,33,120,5,0.928716358066913,0.928716358066913,0.27499999999999997,0.17500000000000002,0.375,24,10,24,0,0.8462718725204479,1.0,1.0
410m,family_self,0.275,0.2,0.35833333333333334,33,120,5,0.928716358066913,0.928716358066913,0.275,0.18333333333333335,0.3666666666666667,24,13,24,0,0.41940987110138034,1.0,1.0
70m,family_self,0.275,0.2,0.3502083333333322,33,120,5,0.928716358066913,0.928716358066913,0.275,0.19166666666666665,0.375,24,8,24,0,0.9680426716804515,1.0,1.0
2.8b,baseline_helpful,0.25,0.175,0.325,30,120,5,0.9809896694893404,0.9809896694893404,0.25,0.15833333333333333,0.34187499999999893,24,11,24,0,0.7293719053268445,1.0,1.0
70m,baseline_helpful,0.225,0.15,0.30833333333333335,27,120,5,0.9964872553972188,0.9964872553972188,0.225,0.15,0.30833333333333335,24,8,24,0,0.9680426716804515,1.0,1.0
2.8b,family_self,0.16666666666666666,0.1,0.23333333333333334,20,120,5,0.9999871330362796,0.9999871330362796,0.16666666666666666,0.09166666666666667,0.2583333333333333,24,5,24,0,0.9992280602455151,1.0,1.0
