model_size_label,identity_frame,self_recognition_accuracy_mean,seed_count,n
1b,baseline_helpful,0.31666666666666665,5,120
1b,family_self,0.5333333333333333,5,120
1b,instance_self,0.425,5,120
1b,tool_only,0.275,5,120
2.8b,baseline_helpful,0.25,5,120
2.8b,family_self,0.16666666666666666,5,120
2.8b,instance_self,0.275,5,120
2.8b,tool_only,0.35833333333333334,5,120
410m,baseline_helpful,0.3333333333333333,5,120
410m,family_self,0.275,5,120
410m,instance_self,0.3416666666666667,5,120
410m,tool_only,0.375,5,120
70m,baseline_helpful,0.225,5,120
70m,family_self,0.275,5,120
70m,instance_self,0.2833333333333333,5,120
70m,tool_only,0.4,5,120
