model_size_label,identity_frame,self_baseline_label,accuracy_mean,n
1b,baseline_helpful,1,0.7083333333333334,240
1b,baseline_helpful,2,0.16666666666666666,240
1b,baseline_helpful,3,0.1875,240
1b,family_self,1,0.7291666666666666,240
1b,family_self,2,0.25,240
1b,family_self,3,0.2916666666666667,240
1b,instance_self,1,0.7291666666666666,240
1b,instance_self,2,0.125,240
1b,instance_self,3,0.25,240
1b,tool_only,1,0.5208333333333334,240
1b,tool_only,2,0.020833333333333332,240
1b,tool_only,3,0.25,240
2.8b,baseline_helpful,1,0.4166666666666667,240
2.8b,baseline_helpful,2,0.22916666666666666,240
2.8b,baseline_helpful,3,0.1875,240
2.8b,family_self,1,0.22916666666666666,240
2.8b,family_self,2,0.125,240
2.8b,family_self,3,0.3333333333333333,240
2.8b,instance_self,1,0.4375,240
2.8b,instance_self,2,0.14583333333333334,240
2.8b,instance_self,3,0.2916666666666667,240
2.8b,tool_only,1,0.3125,240
2.8b,tool_only,2,0.2708333333333333,240
2.8b,tool_only,3,0.4375,240
410m,baseline_helpful,1,0.6666666666666666,240
410m,baseline_helpful,2,0.1875,240
410m,baseline_helpful,3,0.10416666666666667,240
410m,family_self,1,0.4583333333333333,240
410m,family_self,2,0.25,240
410m,family_self,3,0.14583333333333334,240
410m,instance_self,1,0.4583333333333333,240
410m,instance_self,2,0.4166666666666667,240
410m,instance_self,3,0.14583333333333334,240
410m,tool_only,1,0.5208333333333334,240
410m,tool_only,2,0.25,240
410m,tool_only,3,0.16666666666666666,240
70m,baseline_helpful,1,0.8125,240
70m,baseline_helpful,2,0.08333333333333333,240
70m,baseline_helpful,3,0.0,240
70m,family_self,1,0.7708333333333334,240
70m,family_self,2,0.10416666666666667,240
70m,family_self,3,0.020833333333333332,240
70m,instance_self,1,0.7291666666666666,240
70m,instance_self,2,0.041666666666666664,240
70m,instance_self,3,0.020833333333333332,240
70m,tool_only,1,0.8125,240
70m,tool_only,2,0.10416666666666667,240
70m,tool_only,3,0.14583333333333334,240
