model_size_label,identity_frame,n,accuracy_mean,selected_label_1_rate,selected_label_2_rate,selected_label_3_rate,selected_label_max_rate,selected_label_entropy_norm,self_label_1_accuracy,self_label_2_accuracy,self_label_3_accuracy,self_label_accuracy_spread,selection_confidence_mean,selection_confidence_median,selection_confidence_p10,selection_confidence_p90,low_confidence_rate_lt_0_5
70m,baseline_helpful,720,0.2986111111111111,0.8611111111111112,0.10416666666666667,0.034722222222222224,0.8611111111111112,0.437864628175067,0.8125,0.08333333333333333,0.0,0.8125,0.6202749303645558,0.6652408838272095,0.3333333432674408,0.8668133020401001,0.2847222222222222
70m,instance_self,720,0.2638888888888889,0.8472222222222222,0.09722222222222222,0.05555555555555555,0.8472222222222222,0.48027895887099986,0.7291666666666666,0.041666666666666664,0.020833333333333332,0.7083333333333333,0.578011546904842,0.5761169195175171,0.3333333432674408,0.8437947034835815,0.4097222222222222
70m,family_self,720,0.2986111111111111,0.8125,0.1111111111111111,0.0763888888888889,0.8125,0.5546169605915551,0.7708333333333334,0.10416666666666667,0.020833333333333332,0.75,0.6055468387073941,0.5761169195175171,0.3333333432674408,0.8437947034835815,0.2986111111111111
70m,tool_only,720,0.3541666666666667,0.7986111111111112,0.0625,0.1388888888888889,0.7986111111111112,0.570772167669096,0.8125,0.10416666666666667,0.14583333333333334,0.7083333333333334,0.5765213107483255,0.5761169195175171,0.3333333432674408,0.7869859933853149,0.3402777777777778
1b,baseline_helpful,720,0.3541666666666667,0.7152777777777778,0.13194444444444445,0.1527777777777778,0.7152777777777778,0.722684148097285,0.7083333333333334,0.16666666666666666,0.1875,0.5416666666666667,0.6322475887007184,0.638077586889267,0.4589358866214752,0.7848324775695801,0.1736111111111111
410m,baseline_helpful,720,0.3194444444444444,0.7083333333333334,0.2152777777777778,0.0763888888888889,0.7083333333333334,0.702119581459973,0.6666666666666666,0.1875,0.10416666666666667,0.5625,0.5802433770149946,0.5416643619537354,0.4184117019176483,0.8061103820800781,0.4097222222222222
1b,instance_self,720,0.3680555555555556,0.6875,0.125,0.1875,0.6875,0.7567751872715525,0.7291666666666666,0.125,0.25,0.6041666666666666,0.6007863808837202,0.5834314525127411,0.4184216260910034,0.8165453672409058,0.3541666666666667
1b,family_self,720,0.4236111111111111,0.6388888888888888,0.18055555555555555,0.18055555555555555,0.6388888888888888,0.8231820890505928,0.7291666666666666,0.25,0.2916666666666667,0.47916666666666663,0.5959511119872332,0.5618641376495361,0.4299521148204803,0.8450859785079956,0.3680555555555556
1b,tool_only,720,0.2638888888888889,0.5833333333333334,0.09722222222222222,0.3194444444444444,0.5833333333333334,0.8242734349710785,0.5208333333333334,0.020833333333333332,0.25,0.5,0.5689648300823238,0.5304149687290192,0.4273149669170379,0.7422248721122742,0.3541666666666667
410m,family_self,720,0.2847222222222222,0.5555555555555556,0.2708333333333333,0.1736111111111111,0.5555555555555556,0.8959546941772475,0.4583333333333333,0.25,0.14583333333333334,0.3125,0.5392720308154821,0.47210897505283356,0.3855541348457336,0.8012219667434692,0.5277777777777778
410m,tool_only,720,0.3125,0.5277777777777778,0.2638888888888889,0.20833333333333334,0.5277777777777778,0.9244818520542656,0.5208333333333334,0.25,0.16666666666666666,0.35416666666666674,0.5493064835253689,0.5388261377811432,0.4117934703826904,0.6975955367088318,0.3541666666666667
410m,instance_self,720,0.3402777777777778,0.5,0.3263888888888889,0.1736111111111111,0.5,0.924805087548477,0.4583333333333333,0.4166666666666667,0.14583333333333334,0.3125,0.5527822867863708,0.5137518048286438,0.4317758679389953,0.7102120518684387,0.4375
2.8b,baseline_helpful,720,0.2777777777777778,0.4930555555555556,0.3194444444444444,0.1875,0.4930555555555556,0.934877280170231,0.4166666666666667,0.22916666666666666,0.1875,0.22916666666666669,0.5747480545606878,0.5426466763019562,0.4336717426776886,0.7722553014755249,0.3472222222222222
2.8b,instance_self,720,0.2916666666666667,0.4305555555555556,0.2916666666666667,0.2777777777777778,0.4305555555555556,0.9812472487063977,0.4375,0.14583333333333334,0.2916666666666667,0.29166666666666663,0.5288506117131975,0.4850821793079376,0.3806633055210113,0.7381327748298645,0.5208333333333334
2.8b,tool_only,720,0.3402777777777778,0.4097222222222222,0.24305555555555555,0.3472222222222222,0.4097222222222222,0.9800246987606706,0.3125,0.2708333333333333,0.4375,0.16666666666666669,0.6046848177082009,0.6045408248901367,0.4084711074829101,0.8350860476493835,0.2986111111111111
2.8b,family_self,720,0.22916666666666666,0.3402777777777778,0.2708333333333333,0.3888888888888889,0.3888888888888889,0.9902348529642825,0.22916666666666666,0.125,0.3333333333333333,0.20833333333333331,0.5719501297507021,0.5437760055065155,0.4048711061477661,0.785759687423706,0.3888888888888889
