model_size_label,identity_frame,selected_label,n
1b,baseline_helpful,1,515
1b,baseline_helpful,2,95
1b,baseline_helpful,3,110
1b,family_self,1,460
1b,family_self,2,130
1b,family_self,3,130
1b,instance_self,1,495
1b,instance_self,2,90
1b,instance_self,3,135
1b,tool_only,1,420
1b,tool_only,2,70
1b,tool_only,3,230
2.8b,baseline_helpful,1,355
2.8b,baseline_helpful,2,230
2.8b,baseline_helpful,3,135
2.8b,family_self,1,245
2.8b,family_self,2,195
2.8b,family_self,3,280
2.8b,instance_self,1,310
2.8b,instance_self,2,210
2.8b,instance_self,3,200
2.8b,tool_only,1,295
2.8b,tool_only,2,175
2.8b,tool_only,3,250
410m,baseline_helpful,1,510
410m,baseline_helpful,2,155
410m,baseline_helpful,3,55
410m,family_self,1,400
410m,family_self,2,195
410m,family_self,3,125
410m,instance_self,1,360
410m,instance_self,2,235
410m,instance_self,3,125
410m,tool_only,1,380
410m,tool_only,2,190
410m,tool_only,3,150
70m,baseline_helpful,1,620
70m,baseline_helpful,2,75
70m,baseline_helpful,3,25
70m,family_self,1,585
70m,family_self,2,80
70m,family_self,3,55
70m,instance_self,1,610
70m,instance_self,2,70
70m,instance_self,3,40
70m,tool_only,1,575
70m,tool_only,2,45
70m,tool_only,3,100
