model_size_label,identity_frame,axis_name,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,hits,trials,seed_count,p_value_vs_chance,row_p_value_vs_chance,cluster_accuracy_mean,cluster_accuracy_ci95_low,cluster_accuracy_ci95_high,cluster_count,cluster_hits_above_chance,cluster_non_tie_count,cluster_tie_count,cluster_sign_p_value_vs_chance,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,p_value_vs_chance_holm,cluster_sign_p_value_vs_chance_holm
1b,family_self,collaborative_vs_authoritative,0.5,0.43333333333333335,0.5722222222222222,90,180,5,2.8711032682346933e-06,2.8711032682346933e-06,0.49999999999999994,0.38888888888888884,0.611111111111111,6,4,4,2,0.0625,0.0082610379368501,0.029069332942917192,0.00018375060916702037,1.0
1b,family_self,expansive_vs_terse,0.5,0.42777777777777776,0.5722222222222222,90,180,5,2.8711032682346933e-06,2.8711032682346933e-06,0.5,0.27777777777777773,0.6666666666666666,6,5,6,0,0.10937500000000004,0.009104361796128115,0.0313025540576941,0.00018375060916702037,1.0
1b,instance_self,expansive_vs_terse,0.4722222222222222,0.4,0.5444444444444444,85,180,5,7.789708658060861e-05,7.789708658060861e-05,0.47222222222222215,0.4166666666666667,0.5,6,5,5,1,0.03125,0.016120940823543116,0.03193529353607788,0.004829619367997734,1.0
410m,baseline_helpful,cautious_vs_assertive,0.4166666666666667,0.34444444444444444,0.4888888888888889,75,180,5,0.011870811630613607,0.011870811630613607,0.4166666666666666,0.27777777777777773,0.5555555555555555,6,4,6,0,0.34375000000000056,0.0074715367608973,0.009279357392365,0.72411950946743,1.0
410m,instance_self,selfref_vs_impersonal,0.4166666666666667,0.34444444444444444,0.4888888888888889,75,180,5,0.011870811630613607,0.011870811630613607,0.4166666666666667,0.2777777777777778,0.5555555555555555,6,3,4,2,0.3124999999999997,0.007343402360056883,0.0049037881141057,0.72411950946743,1.0
1b,baseline_helpful,collaborative_vs_authoritative,0.3888888888888889,0.32222222222222224,0.4666666666666667,70,180,5,0.0678018225960851,0.0678018225960851,0.38888888888888884,0.3333333333333333,0.5,6,1,1,5,0.5,0.021835049260475983,0.02090679694480835,1.0,1.0
1b,family_self,selfref_vs_impersonal,0.3888888888888889,0.31666666666666665,0.4666666666666667,70,180,5,0.0678018225960851,0.0678018225960851,0.3888888888888889,0.27777777777777773,0.5,6,2,3,3,0.5000000000000003,0.0029578437088447996,0.0039882190612116055,1.0,1.0
1b,instance_self,cautious_vs_assertive,0.3888888888888889,0.31666666666666665,0.46111111111111114,70,180,5,0.0678018225960851,0.0678018225960851,0.38888888888888884,0.3333333333333333,0.4444444444444445,6,2,2,4,0.25,0.007828214274777366,0.015065378519218233,1.0,1.0
2.8b,tool_only,expansive_vs_terse,0.3888888888888889,0.31666666666666665,0.46111111111111114,70,180,5,0.0678018225960851,0.0678018225960851,0.38888888888888884,0.3333333333333333,0.4444444444444444,6,2,2,4,0.25,0.008368529452238382,0.028586484080292147,1.0,1.0
70m,tool_only,expansive_vs_terse,0.3888888888888889,0.31666666666666665,0.46111111111111114,70,180,5,0.0678018225960851,0.0678018225960851,0.3888888888888889,0.3333333333333333,0.5,6,1,1,5,0.5,0.01766849772606105,0.0086534185033554,1.0,1.0
