model_size_label,identity_frame,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,hits,trials,seed_count,p_value_vs_chance,row_p_value_vs_chance,cluster_accuracy_mean,cluster_accuracy_ci95_low,cluster_accuracy_ci95_high,cluster_count,cluster_hits_above_chance,cluster_non_tie_count,cluster_tie_count,cluster_sign_p_value_vs_chance,p_value_vs_chance_holm,cluster_sign_p_value_vs_chance_holm
1b,family_self,0.4236111111111111,0.3861111111111111,0.4597222222222222,305,720,5,2.745907320300441e-07,2.745907320300441e-07,0.4236111111111111,0.34027777777777785,0.5,24,12,16,8,0.03840637207031256,4.393451712480705e-06,0.614501953125001
1b,instance_self,0.3680555555555556,0.3347222222222222,0.4041666666666667,265,720,5,0.027071025304457555,0.027071025304457555,0.3680555555555555,0.3333333333333333,0.40972222222222215,24,7,9,15,0.08984374999999985,0.40606537956686334,1.0
1b,baseline_helpful,0.3541666666666667,0.31805555555555554,0.3902777777777778,255,720,5,0.12609688928081222,0.12609688928081222,0.3541666666666667,0.3055555555555555,0.40972222222222215,24,5,9,15,0.49999999999999867,1.0,1.0
70m,tool_only,0.3541666666666667,0.3194444444444444,0.3902777777777778,255,720,5,0.12609688928081222,0.12609688928081222,0.3541666666666667,0.3125,0.40277777777777773,24,3,5,19,0.5000000000000006,1.0,1.0
2.8b,tool_only,0.3402777777777778,0.3055555555555556,0.3763888888888889,245,720,5,0.35959000401959795,0.35959000401959795,0.34027777777777773,0.2916666666666667,0.38888888888888884,24,7,13,11,0.4999999999999993,1.0,1.0
410m,instance_self,0.3402777777777778,0.30694444444444446,0.375,245,720,5,0.35959000401959795,0.35959000401959795,0.34027777777777773,0.2847222222222222,0.40277777777777773,24,8,16,8,0.5981903076171879,1.0,1.0
410m,baseline_helpful,0.3194444444444444,0.2847222222222222,0.35555555555555557,230,720,5,0.7963660437792371,0.7963660437792371,0.3194444444444444,0.2638888888888889,0.3819444444444444,24,6,15,9,0.8491210937499998,1.0,1.0
410m,tool_only,0.3125,0.2777777777777778,0.3458333333333333,225,720,5,0.8902247656911179,0.8902247656911179,0.31249999999999994,0.25677083333333334,0.375,24,6,15,9,0.8491210937499998,1.0,1.0
70m,baseline_helpful,0.2986111111111111,0.2652777777777778,0.3333333333333333,215,720,5,0.9788490350186461,0.9788490350186461,0.2986111111111111,0.24305555555555555,0.34722222222222215,24,3,9,15,0.9101562499999977,1.0,1.0
70m,family_self,0.2986111111111111,0.26663194444444444,0.33197916666666644,215,720,5,0.9788490350186461,0.9788490350186461,0.2986111111111111,0.25,0.34027777777777773,24,3,10,14,0.9453124999999983,1.0,1.0
2.8b,instance_self,0.2916666666666667,0.25972222222222224,0.325,210,720,5,0.9925434144336375,0.9925434144336375,0.2916666666666667,0.2222222222222222,0.3611111111111111,24,5,14,10,0.9102172851562519,1.0,1.0
410m,family_self,0.2847222222222222,0.2513888888888889,0.3194791666666665,205,720,5,0.9977458510597529,0.9977458510597529,0.2847222222222222,0.2222222222222222,0.34027777777777773,24,4,12,12,0.9270019531249984,1.0,1.0
2.8b,baseline_helpful,0.2777777777777778,0.24444444444444444,0.3111111111111111,200,720,5,0.9994185434631082,0.9994185434631082,0.27777777777777773,0.21527777777777776,0.34027777777777773,24,5,15,9,0.9407653808593748,1.0,1.0
1b,tool_only,0.2638888888888889,0.23055555555555557,0.2972222222222222,190,720,5,0.999976391948957,0.999976391948957,0.2638888888888889,0.21527777777777776,0.3055555555555555,24,1,10,14,0.9990234374999984,1.0,1.0
70m,instance_self,0.2638888888888889,0.23055555555555557,0.2972222222222222,190,720,5,0.999976391948957,0.999976391948957,0.2638888888888889,0.21527777777777776,0.31249999999999994,24,1,10,14,0.9990234374999984,1.0,1.0
2.8b,family_self,0.22916666666666666,0.19722222222222222,0.25972222222222224,165,720,5,0.9999999996392952,0.9999999996392952,0.22916666666666666,0.18055555555555555,0.27777777777777773,24,2,17,7,0.9998626708984408,1.0,1.0
