model_size_label,identity_frame,axis_name,strength_magnitude,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,seed_count,n
1b,baseline_helpful,cautious_vs_assertive,1.0,0.3333333333333333,0.0018620908989115492,0.004853952404960165,0.21263826755229293,1.6963907661851083,5,180
1b,baseline_helpful,collaborative_vs_authoritative,1.0,0.3888888888888889,0.021835049260476025,0.020906796944808393,1.314370555841417,1.273875147357358,5,180
1b,baseline_helpful,expansive_vs_terse,1.0,0.3333333333333333,0.019405626308315424,0.010308407247236745,0.9543325659552185,1.4389334408911936,5,180
1b,baseline_helpful,selfref_vs_impersonal,1.0,0.3611111111111111,0.007114114392233257,0.0014132975429432557,1.5258721663375638,1.309595542577182,5,180
1b,family_self,cautious_vs_assertive,1.0,0.3055555555555556,0.009175699421836755,0.010552442929901375,0.9749367743283079,1.765684015518118,5,180
1b,family_self,collaborative_vs_authoritative,1.0,0.5,0.00826103793685014,0.029069332942917244,1.592723216352033,1.5589847690155842,5,180
1b,family_self,expansive_vs_terse,1.0,0.5,0.009104361796128179,0.031302554057694144,1.061139838974447,1.5167189855021483,5,180
1b,family_self,selfref_vs_impersonal,1.0,0.3888888888888889,0.002957843708844824,0.003988219061211642,0.7457103454210715,1.542957539899943,5,180
1b,instance_self,cautious_vs_assertive,1.0,0.3888888888888889,0.007828214274777406,0.01506537851921828,0.8779249498593734,1.6336149115602785,5,180
1b,instance_self,collaborative_vs_authoritative,1.0,0.3055555555555556,0.005482328550534752,0.018560818564626897,1.0608600139864808,1.5807241634885114,5,180
1b,instance_self,expansive_vs_terse,1.0,0.4722222222222222,0.016120940823543158,0.031935293536077936,1.229111919756459,1.8187861019954628,5,180
1b,instance_self,selfref_vs_impersonal,1.0,0.3055555555555556,0.008555230149395908,0.008268112271722647,1.2183671849644357,1.6314781182338713,5,180
1b,tool_only,cautious_vs_assertive,1.0,0.3055555555555556,0.0011265320473233965,0.010552442929901375,0.7292054184443368,1.765684015518118,5,180
1b,tool_only,collaborative_vs_authoritative,1.0,0.19444444444444445,0.03705120571575663,0.029069332942917244,1.522136950025831,1.5589847690155842,5,180
1b,tool_only,expansive_vs_terse,1.0,0.3055555555555556,0.020529390093164426,0.031302554057694144,1.2517425852432726,1.5167189855021483,5,180
