model_size,concept,token_position,layer_bucket,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
1.4b,confidence,-1,early,linear_probe,0.02312145484320349,0.2558129795318064,12.93854024708271,0.7441870204681936,0.00010657351359666697,320
1.4b,confidence,-1,early,mean_diff,0.023438835068372958,0.25719835196674545,13.380366744101048,0.7428016480332544,0.00012044145818206398,320
1.4b,confidence,-1,early,random_orthogonal,0.022201860821223766,0.24532857354391804,11.473255558311939,0.7546714264560819,6.941148117788472e-05,320
1.4b,confidence,-1,late,linear_probe,0.008315460558514993,0.16789462729452023,3.1696962270885707,0.8321053727054798,0.00013448939984638797,320
1.4b,confidence,-1,late,mean_diff,0.008535053789091713,0.16367196626545666,3.2082279372960327,0.8363280337345433,0.00015560177317862857,320
1.4b,confidence,-1,late,random_orthogonal,0.006721105925680554,0.23470583962182942,2.817940489947796,0.7652941603781706,4.4164485890971365e-05,320
1.4b,confidence,-1,mid,linear_probe,0.01248706537589892,0.18862669795507223,10.557036677002907,0.8113733020449277,0.0002330564480416449,160
1.4b,confidence,-1,mid,mean_diff,0.012743226019665549,0.18732170179739832,11.011338183283806,0.8126782982026016,0.000255337090834433,160
1.4b,confidence,-1,mid,random_orthogonal,0.012174671492539297,0.22789643899138534,8.923776340484618,0.7721035610086145,0.0001064620586930444,160
1.4b,confidence,0,early,linear_probe,0.02086385342408898,0.06546730272824108,34.72036725282669,0.9345326972717588,6.475498938413149e-05,320
1.4b,confidence,0,early,mean_diff,0.019594693352701083,0.04914775875707233,29.023041248321533,0.9508522412429276,5.834879000303054e-05,320
1.4b,confidence,0,early,random_orthogonal,0.020866608858341303,0.0329992337720723,28.32366207242012,0.9670007662279276,5.576431430539914e-05,320
1.4b,confidence,0,late,linear_probe,0.020756660989718453,0.0,3.288810186088085,1.0,1.571376644164933e-05,320
1.4b,confidence,0,late,mean_diff,0.02083642387879076,0.0,3.2928740307688713,1.0,1.5595833221482047e-05,320
1.4b,confidence,0,late,random_orthogonal,0.020447961520403575,0.0,3.260088637471199,1.0,1.1639501449423051e-05,320
1.4b,confidence,0,mid,linear_probe,0.018680890963878434,0.0,8.345155537128448,1.0,2.803198851779437e-05,160
1.4b,confidence,0,mid,mean_diff,0.018655038555152676,0.0,8.338587820529938,1.0,2.6532750069916947e-05,160
1.4b,confidence,0,mid,random_orthogonal,0.018796030723024125,0.0,8.376006722450256,1.0,2.6063665723084017e-05,160
1.4b,empathy,-1,early,linear_probe,0.022938501907628913,0.2577575037719373,11.801930871605872,0.7422424962280627,7.748048636811941e-05,320
1.4b,empathy,-1,early,mean_diff,0.02163280509412284,0.27344726793956037,11.251923742890359,0.7265527320604396,7.425805888770913e-05,320
1.4b,empathy,-1,early,random_orthogonal,0.022234550004941366,0.24796646932844935,11.513544747233391,0.7520335306715507,7.070918924511227e-05,320
1.4b,empathy,-1,late,linear_probe,0.008167215128196353,0.13606640428308042,3.0652221787720917,0.8639335957169196,0.00010219097609931471,320
1.4b,empathy,-1,late,mean_diff,0.008464596174599088,0.14013171615309347,3.152115847915411,0.8598682838469065,0.00011569207925956186,320
1.4b,empathy,-1,late,random_orthogonal,0.006713177473284255,0.23501637847943302,2.8211908414959908,0.764983621520567,4.346893919944035e-05,320
1.4b,empathy,-1,mid,linear_probe,0.012964869692223097,0.2001968593282571,11.791581225395202,0.7998031406717429,0.0002270808909542774,160
1.4b,empathy,-1,mid,mean_diff,0.013116534351138354,0.21373933273650572,12.104875493049622,0.7862606672634943,0.00023555584803030497,160
1.4b,empathy,-1,mid,random_orthogonal,0.012114577912143387,0.22562230911426456,8.881328776478767,0.7743776908857354,0.00010279961959438375,160
1.4b,empathy,0,early,linear_probe,0.018967665499076202,2.2418637448684374e-05,18.58969008922577,0.9999775813625513,6.147442017264941e-05,320
1.4b,empathy,0,early,mean_diff,0.01926158173591824,0.0,17.22455468773842,1.0,5.580487552378346e-05,320
1.4b,empathy,0,early,random_orthogonal,0.020255327661288854,0.03499381789496197,27.13687852025032,0.9650061821050381,5.721167234752705e-05,320
1.4b,empathy,0,late,linear_probe,0.021151351043954436,0.0,3.306145716458559,1.0,1.5647873966883836e-05,320
1.4b,empathy,0,late,mean_diff,0.021292062912834756,0.0,3.303606815636158,1.0,1.4476840034660635e-05,320
1.4b,empathy,0,late,random_orthogonal,0.02048897699569347,0.0,3.263595372438431,1.0,1.1984102616935388e-05,320
1.4b,empathy,0,mid,linear_probe,0.0188413454452529,0.0,8.362191200256348,1.0,2.7863098648594634e-05,160
1.4b,empathy,0,mid,mean_diff,0.018786219297908198,0.0,8.34288364648819,1.0,2.9217872759089386e-05,160
1.4b,empathy,0,mid,random_orthogonal,0.018843661586288325,0.0,8.38425987958908,1.0,2.2974315191958397e-05,160
1.4b,politeness,-1,early,linear_probe,0.02387315579398996,0.23913805719389986,12.049232299625874,0.7608619428061001,8.160782834350817e-05,320
1.4b,politeness,-1,early,mean_diff,0.024319157717400182,0.24998288224656112,12.241438302397729,0.7500171177534389,8.461022572986037e-05,320
1.4b,politeness,-1,early,random_orthogonal,0.022222300089197185,0.24008102622226968,11.512849816679955,0.7599189737777303,7.112009889452934e-05,320
1.4b,politeness,-1,late,linear_probe,0.00771101234277007,0.19141732695468922,3.0496796615421773,0.8085826730453107,9.183865066686615e-05,320
1.4b,politeness,-1,late,mean_diff,0.007839429654995862,0.19285053564548618,3.097712341696024,0.8071494643545138,0.00010206842886188677,320
1.4b,politeness,-1,late,random_orthogonal,0.006701973091548958,0.2325435582671665,2.8138413686305284,0.7674564417328334,4.305261142860511e-05,320
1.4b,politeness,-1,mid,linear_probe,0.01220054577570404,0.21416351609981538,10.088470879197121,0.7858364839001846,0.00018095680720758806,160
1.4b,politeness,-1,mid,mean_diff,0.01228241361677642,0.21585910830651725,10.331344771385194,0.7841408916934827,0.00019453056393100687,160
1.4b,politeness,-1,mid,random_orthogonal,0.012135252365260338,0.22224856970452445,8.903052306175232,0.7777514302954756,0.00010713418242855502,160
1.4b,politeness,0,early,linear_probe,0.02305334075936112,0.14788532088704098,47.67814859747887,0.852114679112959,7.64839880900908e-05,320
1.4b,politeness,0,early,mean_diff,0.023206927988212504,0.10207965291056657,43.44068455696106,0.8979203470894334,8.005280954533642e-05,320
1.4b,politeness,0,early,random_orthogonal,0.020988401345675766,0.03107544403375733,27.911469668149948,0.9689245559662426,6.003984107962087e-05,320
1.4b,politeness,0,late,linear_probe,0.020681346330093175,0.0,3.2788777351379395,1.0,1.3845324306771518e-05,320
1.4b,politeness,0,late,mean_diff,0.02057731105014677,0.0,3.2625217847526073,1.0,1.4441160003286622e-05,320
1.4b,politeness,0,late,random_orthogonal,0.02045121922856192,0.0,3.2608685456216335,1.0,1.1631357983787893e-05,320
1.4b,politeness,0,mid,linear_probe,0.01892863283865149,0.0,8.368433117866516,1.0,2.85179893694461e-05,160
1.4b,politeness,0,mid,mean_diff,0.01889228593790899,0.0,8.364969342947006,1.0,2.7874955173953835e-05,160
1.4b,politeness,0,mid,random_orthogonal,0.01883045426802705,0.0,8.383291095495224,1.0,2.7762787237859675e-05,160
160m,confidence,-1,early,linear_probe,0.012768690576194735,0.0,10.289473721385002,1.0,0.021961547263344934,320
