model_size,model_id,token_position,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
1.4b,EleutherAI/pythia-1.4b,-1,linear_probe,0.015060405466162241,0.20661072476286743,8.305712783535322,0.7933892752371325,0.00012196372373634914,2400
1.4b,EleutherAI/pythia-1.4b,-1,mean_diff,0.015106795265649708,0.21143237221828184,8.407408552020788,0.7885676277817181,0.00013271783673301108,2400
1.4b,EleutherAI/pythia-1.4b,-1,random_orthogonal,0.01400096243877968,0.23647006724908706,7.507560204515855,0.7635299327509129,6.668329815927129e-05,2400
1.4b,EleutherAI/pythia-1.4b,0,linear_probe,0.02049328702269117,0.028450005633697432,16.453323933978876,0.9715499943663025,3.8683586750679194e-05,2400
1.4b,EleutherAI/pythia-1.4b,0,mean_diff,0.02039143637521187,0.020163654889018518,14.942733803888162,0.9798363451109814,3.740441297774131e-05,2400
1.4b,EleutherAI/pythia-1.4b,0,random_orthogonal,0.02023114251981795,0.013209132760105546,14.097112222015857,0.9867908672398945,3.2889489847885924e-05,2400
160m,EleutherAI/pythia-160m,-1,linear_probe,0.012192856287001584,0.0,5.624479286621014,1.0,0.023765833801395832,2400
160m,EleutherAI/pythia-160m,-1,mean_diff,0.011779803926474366,0.0,5.270540944437186,1.0,0.02345250948109116,2400
160m,EleutherAI/pythia-160m,-1,random_orthogonal,0.012668068123942503,0.0,5.761722377339999,1.0,0.020010383747576223,2400
160m,EleutherAI/pythia-160m,0,linear_probe,0.0178281870981057,0.03554899357088751,9.377190736929576,0.9644510064291125,0.007687628647799962,2400
160m,EleutherAI/pythia-160m,0,mean_diff,0.01668526618256384,0.02499050406801806,8.161792359501124,0.9750094959319818,0.007637824999292157,2400
160m,EleutherAI/pythia-160m,0,random_orthogonal,0.017536131958089098,0.013600664579388973,8.4441643272837,0.986399335420611,0.007811388887251523,2400
1b,EleutherAI/pythia-1b,-1,linear_probe,0.015176627364125984,0.2651953692216065,4.92718151204288,0.7348046307783934,0.0001255423415325903,2400
1b,EleutherAI/pythia-1b,-1,mean_diff,0.01495224354051359,0.2711740476320576,4.888230697326362,0.7288259523679425,0.00013750098086989798,2400
1b,EleutherAI/pythia-1b,-1,random_orthogonal,0.015232458219203738,0.29304282166016277,4.836901643847426,0.7069571783398372,7.862688763944216e-05,2400
1b,EleutherAI/pythia-1b,0,linear_probe,0.022048174042720296,0.0638849456382998,18.110490437597036,0.9361150543617002,7.10512327823191e-06,2400
1b,EleutherAI/pythia-1b,0,mean_diff,0.02223917159329474,0.07385398379201552,19.263950496912003,0.9261460162079845,6.856293030494953e-06,2400
1b,EleutherAI/pythia-1b,0,random_orthogonal,0.01987351720454166,0.030137662511553174,11.462730345626673,0.9698623374884467,7.127485758005037e-06,2400
2.8b,EleutherAI/pythia-2.8b,-1,linear_probe,0.013561735858481019,0.0028320007539513695,12.118326782683532,0.9971679992460486,0.0005789532705375254,2400
2.8b,EleutherAI/pythia-2.8b,-1,mean_diff,0.013711216053925404,0.01056250594628003,12.82987585907181,0.9894374940537198,0.0006567068498868922,2400
2.8b,EleutherAI/pythia-2.8b,-1,random_orthogonal,0.01245062890831221,0.0021249533737625445,11.552591190983852,0.9978750466262375,0.00019639367764357185,2400
2.8b,EleutherAI/pythia-2.8b,0,linear_probe,0.019212662203547802,0.0,11.565007627010345,1.0,0.00042055792232830765,2400
2.8b,EleutherAI/pythia-2.8b,0,mean_diff,0.01850113269950569,0.0,11.601556707421938,1.0,0.00045546805705949433,2400
2.8b,EleutherAI/pythia-2.8b,0,random_orthogonal,0.017676069401204534,0.0,10.713564832508563,1.0,0.000378253111596184,2400
410m,EleutherAI/pythia-410m,-1,linear_probe,0.03322266649687658,0.0004547320366644651,7.169527469327052,0.9995452679633355,0.0005327195171487627,2400
410m,EleutherAI/pythia-410m,-1,mean_diff,0.03312937672055943,0.00183104611727282,7.072165844738484,0.9981689538827271,0.0005515868012313289,2400
410m,EleutherAI/pythia-410m,-1,random_orthogonal,0.032819353693242445,0.0003636569555605841,6.680302134454251,0.9996363430444395,0.0003540285928359311,2400
410m,EleutherAI/pythia-410m,0,linear_probe,0.04165954634081567,0.0,13.06936185558637,1.0,0.00022921346515503634,2400
410m,EleutherAI/pythia-410m,0,mean_diff,0.040757147447826915,0.0,12.755109979212284,1.0,0.00022591666945758593,2400
410m,EleutherAI/pythia-410m,0,random_orthogonal,0.041551432401562685,0.0,11.483097639183203,1.0,0.00022700610988063852,2400
70m,EleutherAI/pythia-70m,-1,linear_probe,0.016826784347116056,0.0,4.355475751000146,0.75,0.044923094207115315,1920
70m,EleutherAI/pythia-70m,-1,mean_diff,0.01456212105294977,0.0,3.7966412936958176,0.75,0.03805588145078214,1920
70m,EleutherAI/pythia-70m,-1,random_orthogonal,0.22224847272761203,0.16095118344225404,95.81631504291047,0.839048816557746,0.19238002226920795,1920
70m,EleutherAI/pythia-70m,0,linear_probe,0.03240497998437298,0.0,8.904906402652463,0.75,0.025190478784194628,1920
70m,EleutherAI/pythia-70m,0,mean_diff,0.029403290650710276,0.0,8.101705841720104,0.75,0.024040762293649664,1920
70m,EleutherAI/pythia-70m,0,random_orthogonal,0.17354509070476826,0.0,23.288601060708363,1.0,0.04357816169649591,1920
